code,parent_code,description,comment,level,cpc2_1_code,cpc2_1_description,mapping_type
cattle-other_hp_replacement,cattle-other_hp,cattle for replacement in high prodcutivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_mature-fem,cattle-other_lp,other mature non-dairy cattle females in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_mature-fem-grazing,cattle-other_lp_mature-fem,other mature non-dairy cattle females grazing in low productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_lp_mature-fem-farming,cattle-other_lp_mature-fem,other mature non-dairy cattle females farming in low productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_lp_mature-mal,cattle-other_lp,other mature non-dairy cattle males in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_mature-mal-grazing,cattle-other_lp_mature-mal,other mature non-dairy cattle males grazing in low productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_lp_mature-mal-farming,cattle-other_lp_mature-mal,other mature non-dairy cattle males farming in low productivity systems,,6,"02111","Cattle","many-to_one"
cattle-other_lp_calve-milk,cattle-other_lp,other non-dairy cattle calve on milk in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_calve-forage,cattle-other_lp,other non-dairy cattle calve on forage in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_growing,cattle-other_lp,growing cattle in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_feedlot,cattle-other_lp,feedlock cattle in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_draftbullock,cattle-other_lp,draft bullocks (castrated) in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_bullgrazing,cattle-other_lp,grazing bulls in low productivity systems,,5,"02111","Cattle","many-to_one"
cattle-other_lp_replacement,cattle-other_lp,cattle for replacement in low prodcutivity systems,,5,"02111","Cattle","many-to_one"
buffalo,animal,includes breeding and working males and females and growing buffalos,,2,"02112","Buffalo","one-to-one"
buffalo_hp,buffalo,buffalos in high prodcutivity systems,,3,"02112","Buffalo","many-to-one"
buffalo_lp,buffalo,buffalos in low prodcutivity systems,,3,"02112","Buffalo","many-to-one"
buffalo-dairy,bufallo,mature dairy buffallo female,,3,"02112","Buffalo","many-to-one"
buffalo-dairy_lp,buffalo-dairy,mature dairy buffallo female in low prodcutivity systems,,4,"02112","Buffalo","many-to-one"
buffalo-dairy_hp,buffalo-dairy,mature dairy buffallo female in high prodcutivity systems,,4,"02112","Buffalo","many-to-one"
buffalo-nondairy,bufallo,buffalos non-dairy,,3,"02112","Buffalo","many-to-one"
buffalo-nondairy_mature-male,buffalo-nondairy,buffalos non-dairy mature male,,4,"02112","Buffalo","many-to-one"
buffalo-nondairy_male-working,buffalo-nondairy,buffalos non-dairy working male,,4,"02112","Buffalo","many-to-one"
buffalo-nondairy_male-breeding,buffalo-nondairy,buffalos non-dairy breeding male,,4,"02112","Buffalo","many-to-one"
buffalo-nondairy_growing,buffalo-nondairy,buffalos non-dairy growing,,4,"02112","Buffalo","many-to-one"
buffalo-nondairy_calve,buffalo-nondairy,buffalo non-dairy calves,,4,"02112","Buffalo","many-to-one"
swine,animal,swine (not specified),,2,"02140","Swine / pigs","one-to-one"
swine-mature,swine,mature swine,,3,"02140","Swine / pigs","many-to-one"
swine-mature_breeding,swine-mature,mature swine breeding,,4,"02140","Swine / pigs","many-to-one"
swine-mature_lp,swine-mature,mature swine in low productivity system,,4,"02140","Swine / pigs","many-to-one"
swine-mature_hp,swine-mature,mature swine in high productivity system,,4,"02140","Swine / pigs","many-to-one"
swine-mature_lp_breeding,swine-mature_lp,breeding swine (sow) in high productivity system,,5,"02140","Swine / pigs","many-to-one"
swine-mature_hp_breeding,swine-mature_hp,breeding swine (sow) in low productivity system,,5,"02140","Swine / pigs","many-to-one"
swine-growing,swine,growing swine,,3,"02140","Swine / pigs","many-to-one"
swine-growing_hp,swine-growing,growing swine in high productivity system,,4,"02140","Swine / pigs","many-to-one"
swine-growing_lp,swine-growing,growing swine in low productivity system,,4,"02140","Swine / pigs","many-to-one"
swine-growing_hp_4to7kg,swine-growing_hp,growing swine 4 to 7 kg,,5,"02140","Swine / pigs","many-to-one"
swine-growing_hp_7to20kg,swine-growing_hp,growing swine 7 to 20 kg,,5,"02140","Swine / pigs","many-to-one"
swine-growing_hp_20to40kg,swine-growing_hp,growing swine 20 to 40 kg,,5,"02140","Swine / pigs","many-to-one"
swine-growing_hp_40to80kg,swine-growing_hp,growing swine 40 to 80 kg,,5,"02140","Swine / pigs","many-to-one"
swine-growing_hp_80to120kg,swine-growing_hp,growing swine 80 to 120 kg,,5,"02140","Swine / pigs","many-to-one"
swine-growing_hp_market,swine-growing_hp,swine for market (ca 50 kg),,5,"02140","Swine / pigs","many-to-one"
swine-growing_hp_piglet,swine-growing_hp,swine shortly after birth < 4 kg in high prodcutivity systems,,5,"02140","Swine / pigs","many-to-one"
swine-growing_lp_piglet,swine-growing_lp,swine shortly after birth < 4 kg in low prodcutivity systems,,5,"02140","Swine / pigs","many-to-one"
swine-growing_hp_meat,swine-growing_hp,swine growing for meat production,,5,"02140","Swine / pigs","many-to-one"
poultry,animal,poultry (not specified),,2,"0215","Poultry","one-to_one"
poultry_lp,poultry,poultry (not specified) in high productivity systems,,3,"0215","Poultry","many-to_one"
poultry_hp,poultry,poultry (not specified) in low productivity systems,,3,"0215","Poultry","many-to_one"
poultry-chicken,poultry,chicken,,3,"02151","Chickens","one-to-one"
poultry-chicken_hen,poultry-chicken,chicken hen,,4,"02151","Chickens","many-to-one"
poultry-chicken_pullet,poultry-chicken,chicken pullets (young hen under 1 year),,4,"02151","Chickens","many-to-one"
poultry-chicken_broiler,poultry-chicken,chicken for broiler/meat,,4,"02151","Chickens","many-to-one"
poultry-chicken_lp,poultry-chicken,chickens in low productivity systems,,4,"02151","Chickens","many-to-one"
poultry-chicken_hp,poultry-chicken,chickens in high productivity systems,,4,"02151","Chickens","many-to-one"
poultry-chicken_lp_hen,poultry-chicken_lp,hens in low productivity systems,,5,"02151","Chickens","many-to-one"
poultry-chicken_hp_hen,poultry-chicken_hp,hens in high productivity systems,,5,"02151","Chickens","many-to-one"
poultry-chicken_lp_pullet,poultry-chicken_lp,pullets (young hen under 1 year) in low productivity systems,,5,"02151","Chickens","many-to-one"
poultry-chicken_hp_pullet,poultry-chicken_hp,pullets (young hen under 1 year) in high productivity systems,,5,"02151","Chickens","many-to-one"
poultry-chicken_lp_broiler,poultry-chicken_lp,chicken for broiler/meat production in low productivity systems,,5,"02151","Chickens","many-to-one"
poultry-chicken_hp_broiler,poultry-chicken_hp,chicken for broiler/meat production in high prodcutivity systems,,5,"02151","Chickens","many-to-one"
poultry-chicken_layer,poultry-chicken,laying hens,,4,"02151","Chickens","many-to-one"
poultry-chicken_hp_layer,poultry-chicken_hp,laying hens in high productivity systems,,5,"02151","Chickens","many-to-one"
poultry-chicken_lp_layer,poultry-chicken_lp,laying hens in low productivity systems,,5,"02151","Chickens","many-to-one"
poultry-turkey,poultry,turkeys,,3,"02152","Turkeys","one-to-one"
poultry-turkey_hp,poultry-turkey,turkeys in high prodcutivity systems,,4,"02152","Turkeys","many-to-one"
poultry-turkey_lp,poultry-turkey,turkeys in low productivity systems,,4,"02152","Turkeys","many-to-one"
poultry-duck,poultry,ducks,,3,"02154","Ducks","one-to-one"
poultry-duck_hp,poultry-duck,ducks in high prodcutivity systems,,4,"02154","Ducks","many-to-one"
poultry-duck_lp,poultry-duck,ducks in low productivity systems,,4,"02154","Ducks","many-to-one"
poultry-duck_breeding,poultry-duck,breeding ducks,,4,"02154","Ducks","many-to-one"
poultry-duck_meat,poultry-duck,ducks for meat production,,4,"02154","Ducks","many-to-one"
geese,poultry,geese,,2,"02153","Geese","one-to-one"
sheep,animal,sheep (not specified),,2,"02122","Sheep","one-to-one"
sheep-mature,sheep,mature sheep,,3,"02122","Sheep","many-to-one"
sheep-mature_hp,sheep-mature,mature sheep in high productivity system,,4,"02122","Sheep","many-to-one"
sheep-mature_lp,sheep-mature,mature sheep in low productivity system,,4,"02122","Sheep","many-to-one"
sheep-mature_hp_dairy,sheep-mature_hp,sheeps for dairy production in high productivity systems,,5,"02122","Sheep","many-to-one"
sheep-mature_lp_dairy,sheep-mature_lp,sheeps for dairy production in low productivity systems,,5,"02122","Sheep","many-to-one"
sheep-mature_hp_wool,sheep-mature_hp,sheeps for wool production in high productivity systems,,5,"02122","Sheep","many-to-one"
sheep-mature_lp_wool,sheep-mature_lp,sheeps for wool production in low productivity systems,,5,"02122","Sheep","many-to-one"
sheep-growing,sheep,growing sheep,,3,"02122","Sheep","many-to-one"
sheep-growing_hp,sheep-growing,growing sheeps (lambs) in high productivity systems,,4,"02122","Sheep","many-to-one"
sheep-growing_lp,sheep-growing,growing sheeps (lambs) in low productivity systems,,4,"02122","Sheep","many-to-one"
sheep-growing_hp_meat,sheep-growing_hp,sheeps for meat production in high productivity systems,,5,"02122","Sheep","many-to-one"
sheep-growing_lp_meat,sheep-growing_lp,sheeps for meat production in low productivity systems,,5,"02122","Sheep","many-to-one"
sheep-dairy,sheep,sheeps for dairy production,,4,"02122","Sheep","many-to-one"
mule-ass,animal,mules and assess,,2,"0213","Horses and other equines","one-to-many"
mule-ass_hp,mule-ass,mules and assess in high prodcutivity systems,,3,"0213","Horses and other equines","many-to-many"
mule-ass_lp,mule-ass,mules and assess in low prodcutivity systems,,3,"0213","Horses and other equines","many-to-many"
camel,animal,camels,,2,"02121","Camels and camelids","one-to-one"
camel_lp,camael,camels in low prodcutivity systems,,3,"02121","Camels and camelids","many-to-one"
camel_hp,camel,camels in high prodcutivity systems,,3,"02121","Camels and camelids","many-to-one"
horse,animal,horses,,2,"02131","Horses","one-to-one"
horse_lp,horse,horses in low prodcutivity systems,,3,"02131","Horses","many-to-one"
horse_hp,horse,horses in high prodcutivity systems,,3,"02131","Horses","many-to-one"
furbearing_mink,animal,mink and polecat,,2,"02192","Other mammals","many-to-one"
furbearing_fox,animal,fox and racoon,,2,"02192","Other mammals","many-to-one"
goat,animal,goats,,2,"02123","Goats","one-to-one"
goat_hp,goat,goats in high productivity systems,,3,"02123","Goats","many-to-one"
goat_lp,goat,goats in low productivity systems,,3,"02123","Goats","many-to-one"
deer,animal,deers,,2,"02129","Other ruminants, n.e.c.","many-to-one"
rabbit,animal,rabbits,,2,"02192","Other mammals","many-to-one"
ostrich,animal,ostrichs,,2,"02193","Ostrichs and emus","one-to-many"
llama,animal,llamas,,2,"02129","Other ruminants, n.e.c.","many-to-one"
reindeer,animal,reindeers,,2,"02129","Other ruminants, n.e.c.","many-to-one"
crude,,crude products comming from extraction,,0,"1","Ores and minerals; electricity, gas and water","one-to-one"
coal,crude,coal,,1,"110","Coal and peat","one-to-one"
anthracite,coal,anthracite,,2,"11010","Hard coal","many-to-one"
sub_bituminous_coal,coal,sub-bituminous coal,,2,"11010","Hard coal","many-to-one"
coking_coal,coal,coking coal,,2,"11010","Hard coal","many-to-one"
other_bituminous_coal,coal,other bituminous coal,,2,"11010","Hard coal","many-to-one"
bf_inject_coal,coal,bf injection coal,,2,"11010","Hard coal","many-to-one"
steam_coal,coal,steam coal (combustion coal),,2,"11010","Hard coal","many-to-one"
eaf_coal,coal,coal to electric arc furnace (EAF),,2,"11010","Hard coal","many-to-one"
lignite,coal,lignite,,2,"11030","Brown coal","one-to-one"
peat,coal,peat,,2,"11050","Peat","one-to-one"
brown_coal_briquettes,refined,brown coal briquettes,,1,"11040","Brown coal briquettes and similar solid fuels manufactured from brown coal","one-to-one"
patent_fuel,refined,patent fuel,,1,"11020","Patent fuel and similar solid fuels manufactured from hard coal","one-to-one"
oil_gas,crude,oil and gas,,1,"120","Crude petroleum and natural gas","one-to-one"
oil,oil_gas,oil,,2,"12010","Petroleum oils and oils obtained from bituminous minerals, crude","one-to-many"
oil_shale_tar_sands,oil,oil shale and tar sands,,3,"12030","Bituminous or oil shale and tar sands","one-to-one"
orimulsion,oil_shale_tar_sands,orimulsion,,4,"12030","Bituminous or oil shale and tar sands","many-to-one"
shale_oil,oil_shale_tar_sands,shale oil,,4,"12030","Bituminous or oil shale and tar sands","many-to-one"
natural_gas,oil_gas,natural gas and carbon dioxide,,2,"12020","Natural gas, liquefied or in the gaseous state","one-to-one"
natural_gas_liquids,natural_gas,natural gas liquids,,3,"12020","Natural gas, liquefied or in the gaseous state","many-to-one"
lng,natural_gas_liquids,liquefied natural gas,,3,"12020","Natural gas, liquefied or in the gaseous state","many-to-one"
natural_gas_co2,natural_gas,natural gas and carbon dioxide,,3,"12020","Natural gas, liquefied or in the gaseous state","many-to-one"
landfill_gas,natural_gas,landfill gas,,3,"12020","Natural gas, liquefied or in the gaseous state","many-to-one"
metal_ore,crude,metal ores,,1,"14","Matal ores","one-to-one"
iron_ore,metal_ore,iron ore,,2,"141","ron ores and concentrates, other than roasted iron pyrites","one-to-one"
mineral,crude,minerals and fertilizers,,1,"161","Chemical and fertilizer minerals","one-to-one"
calcite,mineral,calcite or aragonite - CaCO3,,2,,"Other minerals n.e.c.","many-to-one"
magnesite,mineral,magnesite - MgCO3,,2,"16390","Other minerals n.e.c.","many-to-one"
dolomite,mineral,dolomite - CaMg(CO3)2,,2,"16330","Chalk and dolomite","one-to-one"
siderite,mineral,siderite - FeCO3,,2,"16330","Other minerals n.e.c.","many-to-one"
ankerite,mineral,ankerite - Ca(Fe-Mg-Mn)(C03)2,,2,"16330","Other minerals n.e.c.","many-to-one"
rhodochrosite,mineral,rhodochrosite - MnCO3,,2,"16330","Other minerals n.e.c.","many-to-one"
sodium-carbonate,mineral,sodium carbonate or soda ash - Na2CO3,,2,"16330","Other minerals n.e.c.","many-to-one"
stone,crude,stone sand and clay,,1,"151","Monumental or building stone","one-to-one"
limestone,stone,limestone,,2,"15200","Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement","one-to-one"
prod_gas,crude,producer gases,,1,"172","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","one-to-one"
sludge_gas,prod_gas,sludge gas,,2,"17200","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","many-to-one"
other_biogas,prod_gas,other biogas,,2,"17200","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","many-to-one"
foods,,food products,,0,"2","Food products, beverages and tobacco; textiles, apparel and leather products","one-to-one"
glucose,foods,glucose,,1,"23210","Glucose and glucose syrup; fructose and fructose syrup; lactose and lactose syrup; invert sugar; sugars and sugar syrups n.e.c.; artificial honey; caramel","many-to-one"
water,foods,water,,1,"18000","Natural water","ono-to-one"
fresh_water,water,fresh water,,2,"18000","Natural water","many-to-one"
underground_water,water,ground water,,2,"18000","Natural water","many-to-one"
desalinated_water,water,water,,2,"18000","Natural water","many-to-one"
cooling_water,water,cooling water,,2,"18000","Natural water","many-to-one"
deionised_water,water,deionised water,,2,"18000","Natural water","many-to-one"
tap_water,water,tap water,,2,"18000","Natural water","many-to-one"
steam,water,steam,,2,"17300","Steam and hot water","many-to-one"
refined,,refined products,,0,"33","Coke oven products; refined petroleum products; nuclear fuel","one-to-one"
coke,refined,coke as reducing agent,,1,"331","Coke and semi-coke of coal, of lignite or of peat; retort carbon","one-to-one"
coke_oven_lignite_coke,coke,coke oven coke and lignite coke,,2,"33100","Coke and semi-coke of coal, of lignite or of peat; retort carbon","one-to-many"
prebaked_electrodes,coke,prebaked electrodes as reducing agent,,2,"33100","Coke and semi-coke of coal, of lignite or of peat; retort carbon","one-to-many"
electrode_paste,coke,electrode paste as reducing agent,,2,"33100","Coke and semi-coke of coal, of lignite or of peat; retort carbon","one-to-many"
tar,refined,tar,,1,"33200","Tar distilled from coal, from lignite or from peat, and other mineral tars","one-to-one"
coal_tar,tar,coal tar,,2,"33200","Tar distilled from coal, from lignite or from peat, and other mineral tars","many-to-one"
petro_oil,refined,petroleum oils,,1,"333","Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by weight 70% or more of these oils, such oils being the basic constituents of the preparations","one-to-one"
motor_gasoline,petro_oil,motor gasoline,,2,"33311","Motor gasoline","one-to-one"
aviation_gasoline,petro_oil,aviation gasoline,,2,"33312","Aviation gasoline","one-to-one"
jet_gasoline,petro_oil,jet gasoline,,2,"33320","Gasolene-type jet fuel","one-to-one"
naphtha,petro_oil,naphtha,,2,"33330","Naphtha","one-to-one"
light_naphtha,naphtha,naphtha,,3,"33330","Naphtha","many-to-one"
full_range_naphtha,naphtha,naphtha,,3,"33330","Naphtha","many-to-one"
kerosene,petro_oil,kerosene,,2,"3334","Kerosenes","one-to-one"
jet_kerosene,kerosene,jet kerosene,,3,"33342","Kerosene-type jet fuel","one-to-one"
other_kerosene,kerosene,other kerosene,,3,"33349","Other kerosene","one-to-one"
white_spirit_sbp,petro_oil,white spirit and SBP,,2,"33350","White spirit and special boiling point industrial spirits","one-to-one"
light_oil,white_spirit_sbp,light oil,,3,"33350","White spirit and special boiling point industrial spirits","many-to-one"
gas_oil,petro_oil,gas oil,,2,"33360","Gas oil","one-to-one"
gas_diesel_oil,gas_oil,"gas/diesel oil",,3,"33360","Gas oil","many-to-one"
heavy_oil,petro_oil,heavy oil,,2,"33370","Fuel oils n.e.c.","many-to-one"
residual_fuel_oil,petro_oil,residual fuel oil,,2,"33370","Fuel oils n.e.c.","many-to-one"
lubricants,petro_oil,lubricants,,2,"33380","Lubricants","one-to-one"
other_petro_products,petro_oil,other petroleum products,,2,"33390","Other petroleum oils n.e.c.","one-to-one"
fuel_grade_products_and_backflows,other_petro_products,other petroleum products,,3,"33390","Other petroleum oils n.e.c.","many-to-one"
greater_than_430C,other_petro_products,other petroleum products,,3,"33390","Other petroleum oils n.e.c.","many-to-one"
petro_gas,refined,petroleum gases,,1,"334","Petroleum gases and other gaseous hydrocarbons, except natural gas","one-to-one"
liquefied_petroleum_gases,petr_gas,Liquefied Petroleum Gases,,2,"33410","Propane and butanes, liquefied","one-to-one"
propane,liquefied_petroleum_gases,propane,,3,"33410","Propane and butanes, liquefied","many-to-one"
butane,liquefied_petroleum_gases,butane,,3,"33410","Propane and butanes, liquefied","many-to-one"
isobutane,liquefied_petroleum_gases,Isobutane from i-BDH,,4,"33410","Propane and butanes, liquefied",many-to-one
chemical,,chemicals,,0,,,
chemical_organic,chemical,basic organic chemicals,,1,"341","Basic organic chemicals","one-to-one"
cyclohexane,chemical,Cyclohexane,,2,"34110","Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",one-to-one
ethylbenzene,chemical,Ethylbenzene,,2,"34110","Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",one-to-one
vinylchloride,chemical,Vinyl chloride,,2,"34110","Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",one-to-one
biphenyl,chemical,Biphenyl,,2,"34110","Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",many-to-one
styrene,chemical,Styrene,,2,"34110","Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",many-to-one
p-xylene,aromatics,p-Xylene,,6,"34110","Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",many-to-one
pha,chemical,Bisphenol A,,2,"34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols",one-to-one
ethyleneglycol,chemical,Ethylene glycol,,2,"34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols",one-to-one
phenol,chemical,Phenol,,2,"34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols",one-to-one
vinylacetate,chemical,Vinyl acetate,,2,"34139","Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives; industrial fatty alcohols",many-to-one
aceticacid,chemical,Acetic acid,,2,"34140","Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives, except salicylic acid and its salts and esters and their salts",many-to-one
adipicacid,chemical,Adipic acid,,2,"34140","Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives, except salicylic acid and its salts and esters and their salts",many-to-one
mma,chemical,Methyl methacrylate,,2,"34140","Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives, except salicylic acid and its salts and esters and their salts",many-to-one
tpa,chemical,Terephthalic acid,,2,"34140","Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, nitrated or nitrosated derivatives, except salicylic acid and its salts and esters and their salts",many-to-one
adiponitrile,chemical,Adiponitrile,,2,"34150","Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and glutamic acid and its salts; ureines and their derivatives and salts thereof; carboxyimide-function compounds and imine-compounds; nitrile-function compounds; diazo-, azo- or azoxy-compounds; organic derivatives of hydrazine or of hydroxylamine; compounds with other nitrogen function",many-to-one
hmda,chemical,Hexamethylenediamine,,2,"34150","Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and glutamic acid and its salts; ureines and their derivatives and salts thereof; carboxyimide-function compounds and imine-compounds; nitrile-function compounds; diazo-, azo- or azoxy-compounds; organic derivatives of hydrazine or of hydroxylamine; compounds with other nitrogen function",many-to-one
cpl,chemical,Caprolactam,,2,"34160",Organo-sulphur compounds and other organo-inorganic compounds; heterocyclic compounds n.e.c.; nucleic acids and their salts,many-to-one
acetone,chemical,Acetone,,2,"34170","Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphonated, nitrated or nitrosated derivatives; aldehyde-function compounds; ketone-function compounds and quinone-function compounds; enzymes; prepared enzymes n.e.c.; organic compounds n.e.c.",one-to-one
