year,region,income_class,property,value,unit
2006,BR,urban-low,min,0.5015,cap/cap
2006,MX,rural,min,0.2125,cap/cap
2006,MX,urban-high,min,0.1615,cap/cap
2006,MX,urban-low,min,0.476,cap/cap
2006,AU,rural,min,0.068,cap/cap
2006,AU,urban-high,min,0.782,cap/cap
2006,NZ,rural,min,0.068,cap/cap
2006,NZ,urban-high,min,0.782,cap/cap
2006,NG,rural,max,0.598,cap/cap
2006,NG,urban-high,max,0.115,cap/cap
2006,NG,urban-low,max,0.437,cap/cap
2006,EG,rural,max,0.6555,cap/cap
2006,EG,urban-high,max,0.1035,cap/cap
2006,EG,urban-low,max,0.391,cap/cap
2006,KE,rural,max,0.713,cap/cap
2006,KE,urban-high,max,0.092,cap/cap
2006,KE,urban-low,max,0.345,cap/cap
2006,ZA,rural,max,0.4485,cap/cap
2006,ZA,urban-high,max,0.138,cap/cap
2006,ZA,urban-low,max,0.5635,cap/cap
2006,CN,rural,max,0.6785,cap/cap
2006,CN,urban-high,max,0.138,cap/cap
2006,CN,urban-low,max,0.3335,cap/cap
2006,IN,rural,max,0.8165,cap/cap
2006,IN,urban-high,max,0.069,cap/cap
2006,IN,urban-low,max,0.2645,cap/cap
2006,ID,rural,max,0.621,cap/cap
2006,ID,urban-high,max,0.138,cap/cap
2006,ID,urban-low,max,0.391,cap/cap
2006,PK,rural,max,0.7475,cap/cap
2006,PK,urban-high,max,0.0805,cap/cap
2006,PK,urban-low,max,0.322,cap/cap
2006,BD,rural,max,0.828,cap/cap
2006,BD,urban-high,max,0.069,cap/cap
2006,BD,urban-low,max,0.253,cap/cap
2006,JP,rural,max,0.23,cap/cap
2006,JP,urban-high,max,0.92,cap/cap
2006,RU,rural,max,0.3105,cap/cap
2006,RU,urban-high,max,0.8395,cap/cap
2006,RU,urban-low,max,0.0,cap/cap
2006,DE,rural,max,0.069,cap/cap
2006,DE,urban-high,max,1.081,cap/cap
2006,GB,rural,max,0.115,cap/cap
2006,GB,urban-high,max,1.035,cap/cap
2006,FR,rural,max,0.276,cap/cap
2006,FR,urban-high,max,0.874,cap/cap
2006,IT,rural,max,0.368,cap/cap
2006,IT,urban-high,max,0.782,cap/cap
2006,IT,urban-low,max,0.0,cap/cap
2006,US,rural,max,0.253,cap/cap
2006,US,urban-high,max,0.897,cap/cap
2006,CA,rural,max,0.23,cap/cap
2006,CA,urban-high,max,0.92,cap/cap
2006,BR,rural,max,0.184,cap/cap
2006,BR,urban-high,max,0.2875,cap/cap
2006,BR,urban-low,max,0.6785,cap/cap
2006,MX,rural,max,0.2875,cap/cap
2006,MX,urban-high,max,0.2185,cap/cap
2006,MX,urban-low,max,0.644,cap/cap
2006,AU,rural,max,0.092,cap/cap
2006,AU,urban-high,max,1.058,cap/cap
2006,NZ,rural,max,0.092,cap/cap
2006,NZ,urban-high,max,1.058,cap/cap
2006,NG,rural,abs_min,0.0,cap/cap
2006,NG,urban-high,abs_min,0.0,cap/cap
2006,NG,urban-low,abs_min,0.0,cap/cap
2006,EG,rural,abs_min,0.0,cap/cap
2006,EG,urban-high,abs_min,0.0,cap/cap
2006,EG,urban-low,abs_min,0.0,cap/cap
2006,KE,rural,abs_min,0.0,cap/cap
2006,KE,urban-high,abs_min,0.0,cap/cap
2006,KE,urban-low,abs_min,0.0,cap/cap
2006,ZA,rural,abs_min,0.0,cap/cap
2006,ZA,urban-high,abs_min,0.0,cap/cap
2006,ZA,urban-low,abs_min,0.0,cap/cap
2006,CN,rural,abs_min,0.0,cap/cap
2006,CN,urban-high,abs_min,0.0,cap/cap
2006,CN,urban-low,abs_min,0.0,cap/cap
2006,IN,rural,abs_min,0.0,cap/cap
2006,IN,urban-high,abs_min,0.0,cap/cap
2006,IN,urban-low,abs_min,0.0,cap/cap
2006,ID,rural,abs_min,0.0,cap/cap
2006,ID,urban-high,abs_min,0.0,cap/cap
2006,ID,urban-low,abs_min,0.0,cap/cap
2006,PK,rural,abs_min,0.0,cap/cap
2006,PK,urban-high,abs_min,0.0,cap/cap
2006,PK,urban-low,abs_min,0.0,cap/cap
2006,BD,rural,abs_min,0.0,cap/cap
2006,BD,urban-high,abs_min,0.0,cap/cap
2006,BD,urban-low,abs_min,0.0,cap/cap
2006,JP,rural,abs_min,0.0,cap/cap
2006,JP,urban-high,abs_min,0.0,cap/cap
2006,JP,urban-low,abs_min,0.0,cap/cap
2006,RU,rural,abs_min,0.0,cap/cap
2006,RU,urban-high,abs_min,0.0,cap/cap
2006,RU,urban-low,abs_min,0.0,cap/cap
2006,DE,rural,abs_min,0.0,cap/cap
2006,DE,urban-high,abs_min,0.0,cap/cap
2006,DE,urban-low,abs_min,0.0,cap/cap
2006,GB,rural,abs_min,0.0,cap/cap
2006,GB,urban-high,abs_min,0.0,cap/cap
2006,GB,urban-low,abs_min,0.0,cap/cap
2006,FR,rural,abs_min,0.0,cap/cap
2006,FR,urban-high,abs_min,0.0,cap/cap
2006,FR,urban-low,abs_min,0.0,cap/cap
2006,IT,rural,abs_min,0.0,cap/cap
2006,IT,urban-high,abs_min,0.0,cap/cap
2006,IT,urban-low,abs_min,0.0,cap/cap
2006,US,rural,abs_min,0.0,cap/cap
2006,US,urban-high,abs_min,0.0,cap/cap
2006,US,urban-low,abs_min,0.0,cap/cap
2006,CA,rural,abs_min,0.0,cap/cap
2006,CA,urban-high,abs_min,0.0,cap/cap
2006,CA,urban-low,abs_min,0.0,cap/cap
2006,BR,rural,abs_min,0.0,cap/cap
2006,BR,urban-high,abs_min,0.0,cap/cap
2006,BR,urban-low,abs_min,0.0,cap/cap
2006,MX,rural,abs_min,0.0,cap/cap
2006,MX,urban-high,abs_min,0.0,cap/cap
2006,MX,urban-low,abs_min,0.0,cap/cap
2006,AU,rural,abs_min,0.0,cap/cap
2006,AU,urban-high,abs_min,0.0,cap/cap
2006,AU,urban-low,abs_min,0.0,cap/cap
2006,NZ,rural,abs_min,0.0,cap/cap
2006,NZ,urban-high,abs_min,0.0,cap/cap
2006,NZ,urban-low,abs_min,0.0,cap/cap
2006,NG,rural,abs_max,1.0,cap/cap
2006,NG,urban-high,abs_max,1.0,cap/cap
2006,NG,urban-low,abs_max,1.0,cap/cap
2006,EG,rural,abs_max,1.0,cap/cap
2006,EG,urban-high,abs_max,1.0,cap/cap
2006,EG,urban-low,abs_max,1.0,cap/cap
2006,KE,rural,abs_max,1.0,cap/cap
2006,KE,urban-high,abs_max,1.0,cap/cap
2006,KE,urban-low,abs_max,1.0,cap/cap
2006,ZA,rural,abs_max,1.0,cap/cap
2006,ZA,urban-high,abs_max,1.0,cap/cap
2006,ZA,urban-low,abs_max,1.0,cap/cap
2006,CN,rural,abs_max,1.0,cap/cap
2006,CN,urban-high,abs_max,1.0,cap/cap
2006,CN,urban-low,abs_max,1.0,cap/cap
2006,IN,rural,abs_max,1.0,cap/cap
2006,IN,urban-high,abs_max,1.0,cap/cap
2006,IN,urban-low,abs_max,1.0,cap/cap
2006,ID,rural,abs_max,1.0,cap/cap
2006,ID,urban-high,abs_max,1.0,cap/cap
2006,ID,urban-low,abs_max,1.0,cap/cap
2006,PK,rural,abs_max,1.0,cap/cap
2006,PK,urban-high,abs_max,1.0,cap/cap
2006,PK,urban-low,abs_max,1.0,cap/cap
2006,BD,rural,abs_max,1.0,cap/cap
2006,BD,urban-high,abs_max,1.0,cap/cap
2006,BD,urban-low,abs_max,1.0,cap/cap
2006,JP,rural,abs_max,1.0,cap/cap
2006,JP,urban-high,abs_max,1.0,cap/cap
2006,JP,urban-low,abs_max,1.0,cap/cap
2006,RU,rural,abs_max,1.0,cap/cap
2006,RU,urban-high,abs_max,1.0,cap/cap
2006,RU,urban-low,abs_max,1.0,cap/cap
2006,DE,rural,abs_max,1.0,cap/cap
2006,DE,urban-high,abs_max,1.0,cap/cap
2006,DE,urban-low,abs_max,1.0,cap/cap
2006,GB,rural,abs_max,1.0,cap/cap
2006,GB,urban-high,abs_max,1.0,cap/cap
2006,GB,urban-low,abs_max,1.0,cap/cap
2006,FR,rural,abs_max,1.0,cap/cap
2006,FR,urban-high,abs_max,1.0,cap/cap
2006,FR,urban-low,abs_max,1.0,cap/cap
2006,IT,rural,abs_max,1.0,cap/cap
2006,IT,urban-high,abs_max,1.0,cap/cap
2006,IT,urban-low,abs_max,1.0,cap/cap
2006,US,rural,abs_max,1.0,cap/cap
2006,US,urban-high,abs_max,1.0,cap/cap
2006,US,urban-low,abs_max,1.0,cap/cap
2006,CA,rural,abs_max,1.0,cap/cap
2006,CA,urban-high,abs_max,1.0,cap/cap
2006,CA,urban-low,abs_max,1.0,cap/cap
2006,BR,rural,abs_max,1.0,cap/cap
2006,BR,urban-high,abs_max,1.0,cap/cap
2006,BR,urban-low,abs_max,1.0,cap/cap
2006,MX,rural,abs_max,1.0,cap/cap
2006,MX,urban-high,abs_max,1.0,cap/cap
2006,MX,urban-low,abs_max,1.0,cap/cap
2006,AU,rural,abs_max,1.0,cap/cap
2006,AU,urban-high,abs_max,1.0,cap/cap
2006,AU,urban-low,abs_max,1.0,cap/cap
2006,NZ,rural,abs_max,1.0,cap/cap
2006,NZ,urban-high,abs_max,1.0,cap/cap
2006,NZ,urban-low,abs_max,1.0,cap/cap
