product,property,value,unit
cattle-other_lp_bullgrazing,min,1.2,MJ/piece/day
cattle-other_lp_replacement,min,0.8,MJ/piece/day
buffalo,min,1.0,MJ/piece/day
buffalo-dairy,min,0.8,MJ/piece/day
buffalo-nondairy,min,1.0,MJ/piece/day
buffalo-nondairy_mature-male,min,1.2,MJ/piece/day
buffalo-nondairy_male-working,min,1.2,MJ/piece/day
buffalo-nondairy_male-breeding,min,1.2,MJ/piece/day
buffalo-nondairy_growing,min,1.0,MJ/piece/day
buffalo-nondairy_calve,min,1.0,MJ/piece/day
cattle-dairy,max,0.8,MJ/piece/day
cattle-other,max,1.0,MJ/piece/day
cattle-other_mature-fem,max,0.8,MJ/piece/day
cattle-other_mature-fem-grazing,max,0.8,MJ/piece/day
cattle-other_mature-fem-farming,max,0.8,MJ/piece/day
cattle-other_mature-mal,max,1.2,MJ/piece/day
cattle-other_mature-mal-grazing,max,1.2,MJ/piece/day
cattle-other_mature-mal-farming,max,1.2,MJ/piece/day
cattle-other_calve-milk,max,1.0,MJ/piece/day
cattle-other_calve-forage,max,1.0,MJ/piece/day
cattle-other_growing,max,1.0,MJ/piece/day
cattle-other_feedlot,max,1.0,MJ/piece/day
cattle-other_draftbullock,max,1.2,MJ/piece/day
cattle-other_bullgrazing,max,1.2,MJ/piece/day
cattle-other_replacement,max,0.8,MJ/piece/day
cattle-dairy_lp,max,0.8,MJ/piece/day
cattle-dairy_hp,max,0.8,MJ/piece/day
cattle-other_hp_mature-fem,max,0.8,MJ/piece/day
cattle-other_hp_mature-fem-grazing,max,0.8,MJ/piece/day
cattle-other_hp_mature-fem-farming,max,0.8,MJ/piece/day
cattle-other_hp_mature-mal,max,1.2,MJ/piece/day
cattle-other_hp_mature-mal-grazing,max,1.2,MJ/piece/day
cattle-other_hp_mature-mal-farming,max,1.2,MJ/piece/day
cattle-other_hp_calve-milk,max,1.0,MJ/piece/day
cattle-other_hp_calve-forage,max,1.0,MJ/piece/day
cattle-other_hp_growing,max,1.0,MJ/piece/day
cattle-other_hp_feedlot,max,1.0,MJ/piece/day
cattle-other_hp_draftbullock,max,1.2,MJ/piece/day
cattle-other_hp_bullgrazing,max,1.2,MJ/piece/day
cattle-other_hp_replacement,max,0.8,MJ/piece/day
cattle-other_lp_mature-fem,max,0.8,MJ/piece/day
cattle-other_lp_mature-fem-grazing,max,0.8,MJ/piece/day
cattle-other_lp_mature-fem-farming,max,0.8,MJ/piece/day
cattle-other_lp_mature-mal,max,1.2,MJ/piece/day
cattle-other_lp_mature-mal-grazing,max,1.2,MJ/piece/day
cattle-other_lp_mature-mal-farming,max,1.2,MJ/piece/day
cattle-other_lp_calve-milk,max,1.0,MJ/piece/day
cattle-other_lp_calve-forage,max,1.0,MJ/piece/day
cattle-other_lp_growing,max,1.0,MJ/piece/day
cattle-other_lp_feedlot,max,1.0,MJ/piece/day
cattle-other_lp_draftbullock,max,1.2,MJ/piece/day
cattle-other_lp_bullgrazing,max,1.2,MJ/piece/day
cattle-other_lp_replacement,max,0.8,MJ/piece/day
buffalo,max,1.0,MJ/piece/day
buffalo-dairy,max,0.8,MJ/piece/day
buffalo-nondairy,max,1.0,MJ/piece/day
buffalo-nondairy_mature-male,max,1.2,MJ/piece/day
buffalo-nondairy_male-working,max,1.2,MJ/piece/day
buffalo-nondairy_male-breeding,max,1.2,MJ/piece/day
buffalo-nondairy_growing,max,1.0,MJ/piece/day
buffalo-nondairy_calve,max,1.0,MJ/piece/day
cattle-dairy,abs_min,0.0,MJ/piece/day
cattle-other,abs_min,0.0,MJ/piece/day
cattle-other_mature-fem,abs_min,0.0,MJ/piece/day
cattle-other_mature-fem-grazing,abs_min,0.0,MJ/piece/day
cattle-other_mature-fem-farming,abs_min,0.0,MJ/piece/day
cattle-other_mature-mal,abs_min,0.0,MJ/piece/day
cattle-other_mature-mal-grazing,abs_min,0.0,MJ/piece/day
cattle-other_mature-mal-farming,abs_min,0.0,MJ/piece/day
cattle-other_calve-milk,abs_min,0.0,MJ/piece/day
cattle-other_calve-forage,abs_min,0.0,MJ/piece/day
cattle-other_growing,abs_min,0.0,MJ/piece/day
cattle-other_feedlot,abs_min,0.0,MJ/piece/day
cattle-other_draftbullock,abs_min,0.0,MJ/piece/day
cattle-other_bullgrazing,abs_min,0.0,MJ/piece/day
cattle-other_replacement,abs_min,0.0,MJ/piece/day
cattle-dairy_lp,abs_min,0.0,MJ/piece/day
cattle-dairy_hp,abs_min,0.0,MJ/piece/day
cattle-other_hp_mature-fem,abs_min,0.0,MJ/piece/day
cattle-other_hp_mature-fem-grazing,abs_min,0.0,MJ/piece/day
cattle-other_hp_mature-fem-farming,abs_min,0.0,MJ/piece/day
cattle-other_hp_mature-mal,abs_min,0.0,MJ/piece/day
cattle-other_hp_mature-mal-grazing,abs_min,0.0,MJ/piece/day
cattle-other_hp_mature-mal-farming,abs_min,0.0,MJ/piece/day
cattle-other_hp_calve-milk,abs_min,0.0,MJ/piece/day
cattle-other_hp_calve-forage,abs_min,0.0,MJ/piece/day
cattle-other_hp_growing,abs_min,0.0,MJ/piece/day
cattle-other_hp_feedlot,abs_min,0.0,MJ/piece/day
cattle-other_hp_draftbullock,abs_min,0.0,MJ/piece/day
cattle-other_hp_bullgrazing,abs_min,0.0,MJ/piece/day
cattle-other_hp_replacement,abs_min,0.0,MJ/piece/day
cattle-other_lp_mature-fem,abs_min,0.0,MJ/piece/day
cattle-other_lp_mature-fem-grazing,abs_min,0.0,MJ/piece/day
cattle-other_lp_mature-fem-farming,abs_min,0.0,MJ/piece/day
cattle-other_lp_mature-mal,abs_min,0.0,MJ/piece/day
cattle-other_lp_mature-mal-grazing,abs_min,0.0,MJ/piece/day
cattle-other_lp_mature-mal-farming,abs_min,0.0,MJ/piece/day
cattle-other_lp_calve-milk,abs_min,0.0,MJ/piece/day
cattle-other_lp_calve-forage,abs_min,0.0,MJ/piece/day
cattle-other_lp_growing,abs_min,0.0,MJ/piece/day
cattle-other_lp_feedlot,abs_min,0.0,MJ/piece/day
cattle-other_lp_draftbullock,abs_min,0.0,MJ/piece/day
cattle-other_lp_bullgrazing,abs_min,0.0,MJ/piece/day
cattle-other_lp_replacement,abs_min,0.0,MJ/piece/day
buffalo,abs_min,0.0,MJ/piece/day
buffalo-dairy,abs_min,0.0,MJ/piece/day
buffalo-nondairy,abs_min,0.0,MJ/piece/day
buffalo-nondairy_mature-male,abs_min,0.0,MJ/piece/day
buffalo-nondairy_male-working,abs_min,0.0,MJ/piece/day
buffalo-nondairy_male-breeding,abs_min,0.0,MJ/piece/day
buffalo-nondairy_growing,abs_min,0.0,MJ/piece/day
buffalo-nondairy_calve,abs_min,0.0,MJ/piece/day
cattle-dairy,abs_max,inf,MJ/piece/day
cattle-other,abs_max,inf,MJ/piece/day
cattle-other_mature-fem,abs_max,inf,MJ/piece/day
cattle-other_mature-fem-grazing,abs_max,inf,MJ/piece/day
cattle-other_mature-fem-farming,abs_max,inf,MJ/piece/day
cattle-other_mature-mal,abs_max,inf,MJ/piece/day
cattle-other_mature-mal-grazing,abs_max,inf,MJ/piece/day
cattle-other_mature-mal-farming,abs_max,inf,MJ/piece/day
cattle-other_calve-milk,abs_max,inf,MJ/piece/day
cattle-other_calve-forage,abs_max,inf,MJ/piece/day
cattle-other_growing,abs_max,inf,MJ/piece/day
cattle-other_feedlot,abs_max,inf,MJ/piece/day
cattle-other_draftbullock,abs_max,inf,MJ/piece/day
cattle-other_bullgrazing,abs_max,inf,MJ/piece/day
cattle-other_replacement,abs_max,inf,MJ/piece/day
cattle-dairy_lp,abs_max,inf,MJ/piece/day
cattle-dairy_hp,abs_max,inf,MJ/piece/day
cattle-other_hp_mature-fem,abs_max,inf,MJ/piece/day
cattle-other_hp_mature-fem-grazing,abs_max,inf,MJ/piece/day
cattle-other_hp_mature-fem-farming,abs_max,inf,MJ/piece/day
cattle-other_hp_mature-mal,abs_max,inf,MJ/piece/day
cattle-other_hp_mature-mal-grazing,abs_max,inf,MJ/piece/day
cattle-other_hp_mature-mal-farming,abs_max,inf,MJ/piece/day
cattle-other_hp_calve-milk,abs_max,inf,MJ/piece/day
cattle-other_hp_calve-forage,abs_max,inf,MJ/piece/day
cattle-other_hp_growing,abs_max,inf,MJ/piece/day
cattle-other_hp_feedlot,abs_max,inf,MJ/piece/day
cattle-other_hp_draftbullock,abs_max,inf,MJ/piece/day
cattle-other_hp_bullgrazing,abs_max,inf,MJ/piece/day
cattle-other_hp_replacement,abs_max,inf,MJ/piece/day
cattle-other_lp_mature-fem,abs_max,inf,MJ/piece/day
cattle-other_lp_mature-fem-grazing,abs_max,inf,MJ/piece/day
cattle-other_lp_mature-fem-farming,abs_max,inf,MJ/piece/day
cattle-other_lp_mature-mal,abs_max,inf,MJ/piece/day
cattle-other_lp_mature-mal-grazing,abs_max,inf,MJ/piece/day
cattle-other_lp_mature-mal-farming,abs_max,inf,MJ/piece/day
cattle-other_lp_calve-milk,abs_max,inf,MJ/piece/day
cattle-other_lp_calve-forage,abs_max,inf,MJ/piece/day
cattle-other_lp_growing,abs_max,inf,MJ/piece/day
cattle-other_lp_feedlot,abs_max,inf,MJ/piece/day
cattle-other_lp_draftbullock,abs_max,inf,MJ/piece/day
cattle-other_lp_bullgrazing,abs_max,inf,MJ/piece/day
cattle-other_lp_replacement,abs_max,inf,MJ/piece/day
buffalo,abs_max,inf,MJ/piece/day
buffalo-dairy,abs_max,inf,MJ/piece/day
buffalo-nondairy,abs_max,inf,MJ/piece/day
buffalo-nondairy_mature-male,abs_max,inf,MJ/piece/day
buffalo-nondairy_male-working,abs_max,inf,MJ/piece/day
buffalo-nondairy_male-breeding,abs_max,inf,MJ/piece/day
buffalo-nondairy_growing,abs_max,inf,MJ/piece/day
buffalo-nondairy_calve,abs_max,inf,MJ/piece/day
