activity,climate_zone,moisture_regime,property,value,unit
pit-short,temperate-warm,dry,def,0.15,kg/kg
pit-short,tropical-montane,undefined,def,0.25,kg/kg
pit-short,tropical,wet,def,0.38,kg/kg
pit-short,tropical,moist,def,0.36,kg/kg
pit-short,tropical,dry,def,0.42,kg/kg
pit-long,temperate-cool,moist,def,0.21,kg/kg
pit-long,temperate-cool,dry,def,0.26,kg/kg
pit-long,boreal,moist,def,0.14,kg/kg
pit-long,boreal,dry,def,0.14,kg/kg
pit-long,temperate-warm,moist,def,0.37,kg/kg
pit-long,temperate-warm,dry,def,0.41,kg/kg
pit-long,tropical-montane,undefined,def,0.59,kg/kg
pit-long,tropical,wet,def,0.76,kg/kg
pit-long,tropical,moist,def,0.73,kg/kg
pit-long,tropical,dry,def,0.74,kg/kg
bedding-long,temperate-cool,moist,def,0.21,kg/kg
bedding-long,temperate-cool,dry,def,0.26,kg/kg
bedding-long,boreal,moist,def,0.14,kg/kg
bedding-long,boreal,dry,def,0.14,kg/kg
bedding-long,temperate-warm,moist,def,0.37,kg/kg
bedding-long,temperate-warm,dry,def,0.41,kg/kg
bedding-long,tropical-montane,undefined,def,0.59,kg/kg
bedding-long,tropical,wet,def,0.76,kg/kg
bedding-long,tropical,moist,def,0.73,kg/kg
bedding-long,tropical,dry,def,0.74,kg/kg
bedding-short,temperate-cool,moist,def,0.0275,kg/kg
bedding-short,temperate-cool,dry,def,0.0275,kg/kg
bedding-short,boreal,moist,def,0.0275,kg/kg
bedding-short,boreal,dry,def,0.0275,kg/kg
bedding-short,temperate-warm,moist,def,0.065,kg/kg
bedding-short,temperate-warm,dry,def,0.065,kg/kg
bedding-short,tropical-montane,undefined,def,0.18,kg/kg
bedding-short,tropical,wet,def,0.18,kg/kg
bedding-short,tropical,moist,def,0.18,kg/kg
bedding-short,tropical,dry,def,0.18,kg/kg
solid-storage,temperate-cool,moist,def,0.02,kg/kg
solid-storage,temperate-cool,dry,def,0.02,kg/kg
solid-storage,boreal,moist,def,0.02,kg/kg
solid-storage,boreal,dry,def,0.02,kg/kg
solid-storage,temperate-warm,moist,def,0.04,kg/kg
solid-storage,temperate-warm,dry,def,0.04,kg/kg
solid-storage,tropical-montane,undefined,def,0.05,kg/kg
solid-storage,tropical,wet,def,0.05,kg/kg
solid-storage,tropical,moist,def,0.05,kg/kg
solid-storage,tropical,dry,def,0.05,kg/kg
solid-storage-covered,temperate-cool,moist,def,0.02,kg/kg
solid-storage-covered,temperate-cool,dry,def,0.02,kg/kg
solid-storage-covered,boreal,moist,def,0.02,kg/kg
solid-storage-covered,boreal,dry,def,0.02,kg/kg
solid-storage-covered,temperate-warm,moist,def,0.04,kg/kg
solid-storage-covered,temperate-warm,dry,def,0.04,kg/kg
solid-storage-covered,tropical-montane,undefined,def,0.05,kg/kg
solid-storage-covered,tropical,wet,def,0.05,kg/kg
solid-storage-covered,tropical,moist,def,0.05,kg/kg
solid-storage-covered,tropical,dry,def,0.05,kg/kg
solid-storage-bulking,temperate-cool,moist,def,0.005,kg/kg
solid-storage-bulking,temperate-cool,dry,def,0.005,kg/kg
solid-storage-bulking,boreal,moist,def,0.005,kg/kg
solid-storage-bulking,boreal,dry,def,0.005,kg/kg
solid-storage-bulking,temperate-warm,moist,def,0.01,kg/kg
solid-storage-bulking,temperate-warm,dry,def,0.01,kg/kg
solid-storage-bulking,tropical-montane,undefined,def,0.015,kg/kg
solid-storage-bulking,tropical,wet,def,0.015,kg/kg
solid-storage-bulking,tropical,moist,def,0.015,kg/kg
solid-storage-bulking,tropical,dry,def,0.015,kg/kg
solid-storage-additive,temperate-cool,moist,def,0.01,kg/kg
solid-storage-additive,temperate-cool,dry,def,0.01,kg/kg
solid-storage-additive,boreal,moist,def,0.01,kg/kg
solid-storage-additive,boreal,dry,def,0.01,kg/kg
solid-storage-additive,temperate-warm,moist,def,0.02,kg/kg
solid-storage-additive,temperate-warm,dry,def,0.02,kg/kg
solid-storage-additive,tropical-montane,undefined,def,0.025,kg/kg
solid-storage-additive,tropical,wet,def,0.025,kg/kg
solid-storage-additive,tropical,moist,def,0.025,kg/kg
solid-storage-additive,tropical,dry,def,0.025,kg/kg
drylot,temperate-cool,moist,def,0.01,kg/kg
drylot,temperate-cool,dry,def,0.01,kg/kg
drylot,boreal,moist,def,0.01,kg/kg
drylot,boreal,dry,def,0.01,kg/kg
drylot,temperate-warm,moist,def,0.015,kg/kg
drylot,temperate-warm,dry,def,0.015,kg/kg
drylot,tropical-montane,undefined,def,0.02,kg/kg
drylot,tropical,wet,def,0.02,kg/kg
drylot,tropical,moist,def,0.02,kg/kg
drylot,tropical,dry,def,0.02,kg/kg
daily-spread,temperate-cool,moist,def,0.001,kg/kg
daily-spread,temperate-cool,dry,def,0.001,kg/kg
daily-spread,boreal,moist,def,0.001,kg/kg
daily-spread,boreal,dry,def,0.001,kg/kg
daily-spread,temperate-warm,moist,def,0.005,kg/kg
daily-spread,temperate-warm,dry,def,0.005,kg/kg
daily-spread,tropical-montane,undefined,def,0.01,kg/kg
daily-spread,tropical,wet,def,0.01,kg/kg
daily-spread,tropical,moist,def,0.01,kg/kg
daily-spread,tropical,dry,def,0.01,kg/kg
composting-vessel,temperate-cool,moist,def,0.005,kg/kg
composting-vessel,temperate-cool,dry,def,0.005,kg/kg
composting-vessel,boreal,moist,def,0.005,kg/kg
composting-vessel,boreal,dry,def,0.005,kg/kg
composting-vessel,temperate-warm,moist,def,0.005,kg/kg
composting-vessel,temperate-warm,dry,def,0.005,kg/kg
composting-vessel,tropical-montane,undefined,def,0.005,kg/kg
composting-vessel,tropical,wet,def,0.005,kg/kg
composting-vessel,tropical,moist,def,0.005,kg/kg
composting-vessel,tropical,dry,def,0.005,kg/kg
composting-pile,temperate-cool,moist,def,0.01,kg/kg
composting-pile,temperate-cool,dry,def,0.01,kg/kg
composting-pile,boreal,moist,def,0.01,kg/kg
composting-pile,boreal,dry,def,0.01,kg/kg
composting-pile,temperate-warm,moist,def,0.02,kg/kg
composting-pile,temperate-warm,dry,def,0.02,kg/kg
composting-pile,tropical-montane,undefined,def,0.025,kg/kg
composting-pile,tropical,wet,def,0.025,kg/kg
composting-pile,tropical,moist,def,0.025,kg/kg
composting-pile,tropical,dry,def,0.025,kg/kg
composting-intensive,temperate-cool,moist,def,0.005,kg/kg
composting-intensive,temperate-cool,dry,def,0.005,kg/kg
composting-intensive,boreal,moist,def,0.005,kg/kg
composting-intensive,boreal,dry,def,0.005,kg/kg
composting-intensive,temperate-warm,moist,def,0.01,kg/kg
composting-intensive,temperate-warm,dry,def,0.01,kg/kg
composting-intensive,tropical-montane,undefined,def,0.015,kg/kg
composting-intensive,tropical,wet,def,0.015,kg/kg
composting-intensive,tropical,moist,def,0.015,kg/kg
composting-intensive,tropical,dry,def,0.015,kg/kg
composting-passive,temperate-cool,moist,def,0.01,kg/kg
composting-passive,temperate-cool,dry,def,0.01,kg/kg
composting-passive,boreal,moist,def,0.01,kg/kg
composting-passive,boreal,dry,def,0.01,kg/kg
composting-passive,temperate-warm,moist,def,0.02,kg/kg
composting-passive,temperate-warm,dry,def,0.02,kg/kg
composting-passive,tropical-montane,undefined,def,0.025,kg/kg
composting-passive,tropical,wet,def,0.025,kg/kg
composting-passive,tropical,moist,def,0.025,kg/kg
composting-passive,tropical,dry,def,0.025,kg/kg
pasture,temperate-cool,moist,def,0.0047,kg/kg
pasture,temperate-cool,dry,def,0.0047,kg/kg
pasture,boreal,moist,def,0.0047,kg/kg
pasture,boreal,dry,def,0.0047,kg/kg
pasture,temperate-warm,moist,def,0.0047,kg/kg
pasture,temperate-warm,dry,def,0.0047,kg/kg
pasture,tropical-montane,undefined,def,0.0047,kg/kg
pasture,tropical,wet,def,0.0047,kg/kg
pasture,tropical,moist,def,0.0047,kg/kg
pasture,tropical,dry,def,0.0047,kg/kg
poultry-litter,temperate-cool,moist,def,0.015,kg/kg
poultry-litter,temperate-cool,dry,def,0.015,kg/kg
poultry-litter,boreal,moist,def,0.015,kg/kg
poultry-litter,boreal,dry,def,0.015,kg/kg
poultry-litter,temperate-warm,moist,def,0.015,kg/kg
poultry-litter,temperate-warm,dry,def,0.015,kg/kg
poultry-litter,tropical-montane,undefined,def,0.015,kg/kg
poultry-litter,tropical,wet,def,0.015,kg/kg
poultry-litter,tropical,moist,def,0.015,kg/kg
poultry-litter,tropical,dry,def,0.015,kg/kg
poultry-nolitter,temperate-cool,moist,def,0.015,kg/kg
poultry-nolitter,temperate-cool,dry,def,0.015,kg/kg
poultry-nolitter,boreal,moist,def,0.015,kg/kg
poultry-nolitter,boreal,dry,def,0.015,kg/kg
poultry-nolitter,temperate-warm,moist,def,0.015,kg/kg
poultry-nolitter,temperate-warm,dry,def,0.015,kg/kg
poultry-nolitter,tropical-montane,undefined,def,0.015,kg/kg
poultry-nolitter,tropical,wet,def,0.015,kg/kg
poultry-nolitter,tropical,moist,def,0.015,kg/kg
poultry-nolitter,tropical,dry,def,0.015,kg/kg
aerobic-natural,temperate-cool,moist,def,0.0,kg/kg
aerobic-natural,temperate-cool,dry,def,0.0,kg/kg
aerobic-natural,boreal,moist,def,0.0,kg/kg
aerobic-natural,boreal,dry,def,0.0,kg/kg
aerobic-natural,temperate-warm,moist,def,0.0,kg/kg
aerobic-natural,temperate-warm,dry,def,0.0,kg/kg
aerobic-natural,tropical-montane,undefined,def,0.0,kg/kg
aerobic-natural,tropical,wet,def,0.0,kg/kg
aerobic-natural,tropical,moist,def,0.0,kg/kg
aerobic-natural,tropical,dry,def,0.0,kg/kg
aerobic-forced,temperate-cool,moist,def,0.0,kg/kg
aerobic-forced,temperate-cool,dry,def,0.0,kg/kg
aerobic-forced,boreal,moist,def,0.0,kg/kg
aerobic-forced,boreal,dry,def,0.0,kg/kg
aerobic-forced,temperate-warm,moist,def,0.0,kg/kg
aerobic-forced,temperate-warm,dry,def,0.0,kg/kg
aerobic-forced,tropical-montane,undefined,def,0.0,kg/kg
aerobic-forced,tropical,wet,def,0.0,kg/kg
aerobic-forced,tropical,moist,def,0.0,kg/kg
aerobic-forced,tropical,dry,def,0.0,kg/kg
burned,temperate-cool,moist,def,0.1,kg/kg
burned,temperate-cool,dry,def,0.1,kg/kg
burned,boreal,moist,def,0.1,kg/kg
burned,boreal,dry,def,0.1,kg/kg
burned,temperate-warm,moist,def,0.1,kg/kg
burned,temperate-warm,dry,def,0.1,kg/kg
burned,tropical-montane,undefined,def,0.1,kg/kg
burned,tropical,wet,def,0.1,kg/kg
burned,tropical,moist,def,0.1,kg/kg
burned,tropical,dry,def,0.1,kg/kg
digester-lowleak-highgastight-besttech,temperate-cool,moist,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,temperate-cool,dry,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,boreal,moist,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,boreal,dry,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,temperate-warm,moist,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,temperate-warm,dry,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,tropical-montane,undefined,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,tropical,wet,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,tropical,moist,def,0.01,kg/kg
digester-lowleak-highgastight-besttech,tropical,dry,def,0.01,kg/kg
digester-lowleak-lowgastight-hightech,temperate-cool,moist,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,temperate-cool,dry,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,boreal,moist,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,boreal,dry,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,temperate-warm,moist,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,temperate-warm,dry,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,tropical-montane,undefined,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,tropical,wet,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,tropical,moist,def,0.0141,kg/kg
digester-lowleak-lowgastight-hightech,tropical,dry,def,0.0141,kg/kg
digester-lowleak-openstorage-hightech,temperate-cool,moist,def,0.0355,kg/kg
digester-lowleak-openstorage-hightech,temperate-cool,dry,def,0.0355,kg/kg
digester-lowleak-openstorage-hightech,boreal,moist,def,0.0355,kg/kg
digester-lowleak-openstorage-hightech,boreal,dry,def,0.0355,kg/kg
digester-lowleak-openstorage-hightech,temperate-warm,moist,def,0.0438,kg/kg
digester-lowleak-openstorage-hightech,temperate-warm,dry,def,0.0438,kg/kg
digester-lowleak-openstorage-hightech,tropical-montane,undefined,def,0.0459,kg/kg
digester-lowleak-openstorage-hightech,tropical,wet,def,0.0459,kg/kg
digester-lowleak-openstorage-hightech,tropical,moist,def,0.0459,kg/kg
digester-lowleak-openstorage-hightech,tropical,dry,def,0.0459,kg/kg
digester-highleak-highgastight-lowtech,temperate-cool,moist,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,temperate-cool,dry,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,boreal,moist,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,boreal,dry,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,temperate-warm,moist,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,temperate-warm,dry,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,tropical-montane,undefined,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,tropical,wet,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,tropical,moist,def,0.0959,kg/kg
digester-highleak-highgastight-lowtech,tropical,dry,def,0.0959,kg/kg
digester-highleak-lowgastight-lowtech,temperate-cool,moist,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,temperate-cool,dry,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,boreal,moist,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,boreal,dry,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,temperate-warm,moist,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,temperate-warm,dry,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,tropical-montane,undefined,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,tropical,wet,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,tropical,moist,def,0.1,kg/kg
digester-highleak-lowgastight-lowtech,tropical,dry,def,0.1,kg/kg
digester-highleak-openstorage-lowtech,temperate-cool,moist,def,0.1214,kg/kg
digester-highleak-openstorage-lowtech,temperate-cool,dry,def,0.1214,kg/kg
digester-highleak-openstorage-lowtech,boreal,moist,def,0.1214,kg/kg
digester-highleak-openstorage-lowtech,boreal,dry,def,0.1214,kg/kg
digester-highleak-openstorage-lowtech,temperate-warm,moist,def,0.1297,kg/kg
digester-highleak-openstorage-lowtech,temperate-warm,dry,def,0.1297,kg/kg
digester-highleak-openstorage-lowtech,tropical-montane,undefined,def,0.1317,kg/kg
digester-highleak-openstorage-lowtech,tropical,wet,def,0.1317,kg/kg
digester-highleak-openstorage-lowtech,tropical,moist,def,0.1317,kg/kg
digester-highleak-openstorage-lowtech,tropical,dry,def,0.1317,kg/kg
lagoon,temperate-cool,moist,min,0.480,kg/kg
lagoon,temperate-cool,dry,min,0.536,kg/kg
lagoon,boreal,moist,min,0.400,kg/kg
lagoon,boreal,dry,min,0.392,kg/kg
lagoon,temperate-warm,moist,min,0.584,kg/kg
lagoon,temperate-warm,dry,min,0.608,kg/kg
lagoon,tropical-montane,undefined,min,0.608,kg/kg
lagoon,tropical,wet,min,0.640,kg/kg
lagoon,tropical,moist,min,0.640,kg/kg
lagoon,tropical,dry,min,0.640,kg/kg
liquid-slurry-naturalcover,temperate-cool,moist,min,0.120,kg/kg
liquid-slurry-naturalcover,temperate-cool,dry,min,0.152,kg/kg
liquid-slurry-naturalcover,boreal,moist,min,0.072,kg/kg
liquid-slurry-naturalcover,boreal,dry,min,0.072,kg/kg
liquid-slurry-naturalcover,temperate-warm,moist,min,0.232,kg/kg
liquid-slurry-naturalcover,temperate-warm,dry,min,0.256,kg/kg
liquid-slurry-naturalcover,tropical-montane,undefined,min,0.400,kg/kg
liquid-slurry-naturalcover,tropical,wet,min,0.536,kg/kg
liquid-slurry-naturalcover,tropical,moist,min,0.512,kg/kg
liquid-slurry-naturalcover,tropical,dry,min,0.544,kg/kg
liquid-slurry-nocover,temperate-cool,moist,min,0.120,kg/kg
liquid-slurry-nocover,temperate-cool,dry,min,0.152,kg/kg
liquid-slurry-nocover,boreal,moist,min,0.072,kg/kg
liquid-slurry-nocover,boreal,dry,min,0.072,kg/kg
liquid-slurry-nocover,temperate-warm,moist,min,0.232,kg/kg
liquid-slurry-nocover,temperate-warm,dry,min,0.256,kg/kg
liquid-slurry-nocover,tropical-montane,undefined,min,0.400,kg/kg
liquid-slurry-nocover,tropical,wet,min,0.536,kg/kg
liquid-slurry-nocover,tropical,moist,min,0.512,kg/kg
liquid-slurry-nocover,tropical,dry,min,0.544,kg/kg
liquid-slurry-cover,temperate-cool,moist,min,0.120,kg/kg
liquid-slurry-cover,temperate-cool,dry,min,0.152,kg/kg
liquid-slurry-cover,boreal,moist,min,0.072,kg/kg
liquid-slurry-cover,boreal,dry,min,0.072,kg/kg
liquid-slurry-cover,temperate-warm,moist,min,0.232,kg/kg
liquid-slurry-cover,temperate-warm,dry,min,0.256,kg/kg
liquid-slurry-cover,tropical-montane,undefined,min,0.400,kg/kg
liquid-slurry-cover,tropical,wet,min,0.536,kg/kg
liquid-slurry-cover,tropical,moist,min,0.512,kg/kg
liquid-slurry-cover,tropical,dry,min,0.544,kg/kg
pit-short,temperate-cool,moist,min,0.048,kg/kg
pit-short,temperate-cool,dry,min,0.064,kg/kg
pit-short,boreal,moist,min,0.032,kg/kg
pit-short,boreal,dry,min,0.032,kg/kg
pit-short,temperate-warm,moist,min,0.104,kg/kg
pit-short,temperate-warm,dry,min,0.120,kg/kg
pit-short,tropical-montane,undefined,min,0.200,kg/kg
pit-short,tropical,wet,min,0.304,kg/kg
pit-short,tropical,moist,min,0.288,kg/kg
pit-short,tropical,dry,min,0.336,kg/kg
pit-long,temperate-cool,moist,min,0.168,kg/kg
pit-long,temperate-cool,dry,min,0.208,kg/kg
pit-long,boreal,moist,min,0.112,kg/kg
pit-long,boreal,dry,min,0.112,kg/kg
pit-long,temperate-warm,moist,min,0.296,kg/kg
pit-long,temperate-warm,dry,min,0.328,kg/kg
pit-long,tropical-montane,undefined,min,0.472,kg/kg
pit-long,tropical,wet,min,0.608,kg/kg
pit-long,tropical,moist,min,0.584,kg/kg
pit-long,tropical,dry,min,0.592,kg/kg
bedding-long,temperate-cool,moist,min,0.168,kg/kg
bedding-long,temperate-cool,dry,min,0.208,kg/kg
bedding-long,boreal,moist,min,0.112,kg/kg
bedding-long,boreal,dry,min,0.112,kg/kg
bedding-long,temperate-warm,moist,min,0.296,kg/kg
bedding-long,temperate-warm,dry,min,0.328,kg/kg
bedding-long,tropical-montane,undefined,min,0.472,kg/kg
bedding-long,tropical,wet,min,0.608,kg/kg
bedding-long,tropical,moist,min,0.584,kg/kg
bedding-long,tropical,dry,min,0.592,kg/kg
bedding-short,temperate-cool,moist,min,0.022,kg/kg
bedding-short,temperate-cool,dry,min,0.022,kg/kg
bedding-short,boreal,moist,min,0.022,kg/kg
bedding-short,boreal,dry,min,0.022,kg/kg
bedding-short,temperate-warm,moist,min,0.052,kg/kg
bedding-short,temperate-warm,dry,min,0.052,kg/kg
bedding-short,tropical-montane,undefined,min,0.144,kg/kg
bedding-short,tropical,wet,min,0.144,kg/kg
bedding-short,tropical,moist,min,0.144,kg/kg
bedding-short,tropical,dry,min,0.144,kg/kg
solid-storage,temperate-cool,moist,min,0.016,kg/kg
solid-storage,temperate-cool,dry,min,0.016,kg/kg
solid-storage,boreal,moist,min,0.016,kg/kg
solid-storage,boreal,dry,min,0.016,kg/kg
solid-storage,temperate-warm,moist,min,0.032,kg/kg
solid-storage,temperate-warm,dry,min,0.032,kg/kg
solid-storage,tropical-montane,undefined,min,0.040,kg/kg
solid-storage,tropical,wet,min,0.040,kg/kg
solid-storage,tropical,moist,min,0.040,kg/kg
solid-storage,tropical,dry,min,0.040,kg/kg
solid-storage-covered,temperate-cool,moist,min,0.016,kg/kg
solid-storage-covered,temperate-cool,dry,min,0.016,kg/kg
solid-storage-covered,boreal,moist,min,0.016,kg/kg
solid-storage-covered,boreal,dry,min,0.016,kg/kg
solid-storage-covered,temperate-warm,moist,min,0.032,kg/kg
solid-storage-covered,temperate-warm,dry,min,0.032,kg/kg
solid-storage-covered,tropical-montane,undefined,min,0.040,kg/kg
solid-storage-covered,tropical,wet,min,0.040,kg/kg
solid-storage-covered,tropical,moist,min,0.040,kg/kg
solid-storage-covered,tropical,dry,min,0.040,kg/kg
solid-storage-bulking,temperate-cool,moist,min,0.004,kg/kg
solid-storage-bulking,temperate-cool,dry,min,0.004,kg/kg
solid-storage-bulking,boreal,moist,min,0.004,kg/kg
solid-storage-bulking,boreal,dry,min,0.004,kg/kg
solid-storage-bulking,temperate-warm,moist,min,0.008,kg/kg
solid-storage-bulking,temperate-warm,dry,min,0.008,kg/kg
solid-storage-bulking,tropical-montane,undefined,min,0.012,kg/kg
solid-storage-bulking,tropical,wet,min,0.012,kg/kg
solid-storage-bulking,tropical,moist,min,0.012,kg/kg
solid-storage-bulking,tropical,dry,min,0.012,kg/kg
solid-storage-additive,temperate-cool,moist,min,0.008,kg/kg
solid-storage-additive,temperate-cool,dry,min,0.008,kg/kg
solid-storage-additive,boreal,moist,min,0.008,kg/kg
solid-storage-additive,boreal,dry,min,0.008,kg/kg
solid-storage-additive,temperate-warm,moist,min,0.016,kg/kg
solid-storage-additive,temperate-warm,dry,min,0.016,kg/kg
solid-storage-additive,tropical-montane,undefined,min,0.020,kg/kg
solid-storage-additive,tropical,wet,min,0.020,kg/kg
solid-storage-additive,tropical,moist,min,0.020,kg/kg
solid-storage-additive,tropical,dry,min,0.020,kg/kg
drylot,temperate-cool,moist,min,0.008,kg/kg
drylot,temperate-cool,dry,min,0.008,kg/kg
drylot,boreal,moist,min,0.008,kg/kg
drylot,boreal,dry,min,0.008,kg/kg
drylot,temperate-warm,moist,min,0.012,kg/kg
drylot,temperate-warm,dry,min,0.012,kg/kg
drylot,tropical-montane,undefined,min,0.016,kg/kg
drylot,tropical,wet,min,0.016,kg/kg
drylot,tropical,moist,min,0.016,kg/kg
drylot,tropical,dry,min,0.016,kg/kg
daily-spread,temperate-cool,moist,min,0.001,kg/kg
daily-spread,temperate-cool,dry,min,0.001,kg/kg
daily-spread,boreal,moist,min,0.001,kg/kg
daily-spread,boreal,dry,min,0.001,kg/kg
daily-spread,temperate-warm,moist,min,0.004,kg/kg
daily-spread,temperate-warm,dry,min,0.004,kg/kg
daily-spread,tropical-montane,undefined,min,0.008,kg/kg
daily-spread,tropical,wet,min,0.008,kg/kg
daily-spread,tropical,moist,min,0.008,kg/kg
daily-spread,tropical,dry,min,0.008,kg/kg
composting-vessel,temperate-cool,moist,min,0.004,kg/kg
composting-vessel,temperate-cool,dry,min,0.004,kg/kg
composting-vessel,boreal,moist,min,0.004,kg/kg
composting-vessel,boreal,dry,min,0.004,kg/kg
composting-vessel,temperate-warm,moist,min,0.004,kg/kg
composting-vessel,temperate-warm,dry,min,0.004,kg/kg
composting-vessel,tropical-montane,undefined,min,0.004,kg/kg
composting-vessel,tropical,wet,min,0.004,kg/kg
composting-vessel,tropical,moist,min,0.004,kg/kg
composting-vessel,tropical,dry,min,0.004,kg/kg
composting-pile,temperate-cool,moist,min,0.008,kg/kg
composting-pile,temperate-cool,dry,min,0.008,kg/kg
composting-pile,boreal,moist,min,0.008,kg/kg
composting-pile,boreal,dry,min,0.008,kg/kg
composting-pile,temperate-warm,moist,min,0.016,kg/kg
composting-pile,temperate-warm,dry,min,0.016,kg/kg
composting-pile,tropical-montane,undefined,min,0.020,kg/kg
composting-pile,tropical,wet,min,0.020,kg/kg
composting-pile,tropical,moist,min,0.020,kg/kg
composting-pile,tropical,dry,min,0.020,kg/kg
composting-intensive,temperate-cool,moist,min,0.004,kg/kg
composting-intensive,temperate-cool,dry,min,0.004,kg/kg
composting-intensive,boreal,moist,min,0.004,kg/kg
composting-intensive,boreal,dry,min,0.004,kg/kg
composting-intensive,temperate-warm,moist,min,0.008,kg/kg
composting-intensive,temperate-warm,dry,min,0.008,kg/kg
composting-intensive,tropical-montane,undefined,min,0.012,kg/kg
composting-intensive,tropical,wet,min,0.012,kg/kg
composting-intensive,tropical,moist,min,0.012,kg/kg
composting-intensive,tropical,dry,min,0.012,kg/kg
composting-passive,temperate-cool,moist,min,0.008,kg/kg
composting-passive,temperate-cool,dry,min,0.008,kg/kg
composting-passive,boreal,moist,min,0.008,kg/kg
composting-passive,boreal,dry,min,0.008,kg/kg
composting-passive,temperate-warm,moist,min,0.016,kg/kg
composting-passive,temperate-warm,dry,min,0.016,kg/kg
