landuse_type,drainage_type,soil_fertility,climate_zone,property,value,unit
WL-PEAT,undefined,undefined,boreal_temperate,min,0.0,kg/ha/yr
WL-PEAT,undefined,undefined,tropical,min,0.2,kg/ha/yr
SL-PARK,undefined,undefined,tropical,min,4.5,kg/ha/yr
SL-PARK,undefined,undefined,boreal,min,4.5,kg/ha/yr
SL-PARK,undefined,undefined,boreal_temperate,min,4.5,kg/ha/yr
SL-PARK,undefined,undefined,temperate,min,4.5,kg/ha/yr
OL,undefined,undefined,tropical,min,0.0,kg/ha/yr
OL,undefined,undefined,boreal,min,0.0,kg/ha/yr
OL,undefined,undefined,boreal_temperate,min,0.0,kg/ha/yr
OL,undefined,undefined,temperate,min,0.0,kg/ha/yr
FL,drained,nutrientpoor,boreal,max,0.28,kg/ha/yr
FL,drained,nutrientrich,boreal,max,4.5,kg/ha/yr
FL,drained,undefined,temperate,max,6.1,kg/ha/yr
FL,drained,undefined,tropical,max,3.5,kg/ha/yr
CL-PLAN-OILPALM,undefined,undefined,tropical,max,1.80,kg/ha/yr
CL-PLAN-SAGOPALM,undefined,undefined,tropical,max,4.95,kg/ha/yr
CL,drained,undefined,boreal_temperate,max,18.0,kg/ha/yr
CL,undefined,undefined,tropical,max,7.7,kg/ha/yr
CL-RICE,undefined,undefined,tropical,max,0.8,kg/ha/yr
GL,drained,undefined,boreal,max,14.0,kg/ha/yr
GL,drained,nutrientpoor,temperate,max,6.8,kg/ha/yr
GL,deepdrained,nutrientrich,temperate,max,11.0,kg/ha/yr
GL,shallowdrained,nutrientrich,temperate,max,2.7,kg/ha/yr
GL,undefined,undefined,tropical,max,7.7,kg/ha/yr
WL-PEAT,undefined,undefined,boreal_temperate,max,0.64,kg/ha/yr
WL-PEAT,undefined,undefined,tropical,max,5.0,kg/ha/yr
SL-PARK,undefined,undefined,tropical,max,11.0,kg/ha/yr
SL-PARK,undefined,undefined,boreal,max,11.0,kg/ha/yr
SL-PARK,undefined,undefined,boreal_temperate,max,11.0,kg/ha/yr
SL-PARK,undefined,undefined,temperate,max,11.0,kg/ha/yr
OL,undefined,undefined,tropical,max,0.0,kg/ha/yr
OL,undefined,undefined,boreal,max,0.0,kg/ha/yr
OL,undefined,undefined,boreal_temperate,max,0.0,kg/ha/yr
OL,undefined,undefined,temperate,max,0.0,kg/ha/yr
FL,drained,nutrientpoor,boreal,abs_min,0.0,kg/ha/yr
FL,drained,nutrientrich,boreal,abs_min,0.0,kg/ha/yr
FL,drained,undefined,temperate,abs_min,0.0,kg/ha/yr
FL,drained,undefined,tropical,abs_min,0.0,kg/ha/yr
CL-PLAN-OILPALM,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
CL-PLAN-SAGOPALM,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
CL,drained,undefined,boreal_temperate,abs_min,0.0,kg/ha/yr
CL,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
CL-RICE,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
GL,drained,undefined,boreal,abs_min,0.0,kg/ha/yr
GL,drained,nutrientpoor,temperate,abs_min,0.0,kg/ha/yr
GL,deepdrained,nutrientrich,temperate,abs_min,0.0,kg/ha/yr
GL,shallowdrained,nutrientrich,temperate,abs_min,0.0,kg/ha/yr
GL,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
WL-PEAT,undefined,undefined,boreal_temperate,abs_min,0.0,kg/ha/yr
WL-PEAT,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
SL-PARK,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
SL-PARK,undefined,undefined,boreal,abs_min,0.0,kg/ha/yr
SL-PARK,undefined,undefined,boreal_temperate,abs_min,0.0,kg/ha/yr
SL-PARK,undefined,undefined,temperate,abs_min,0.0,kg/ha/yr
OL,undefined,undefined,tropical,abs_min,0.0,kg/ha/yr
OL,undefined,undefined,boreal,abs_min,0.0,kg/ha/yr
OL,undefined,undefined,boreal_temperate,abs_min,0.0,kg/ha/yr
OL,undefined,undefined,temperate,abs_min,0.0,kg/ha/yr
FL,drained,nutrientpoor,boreal,abs_max,inf,kg/ha/yr
FL,drained,nutrientrich,boreal,abs_max,inf,kg/ha/yr
FL,drained,undefined,temperate,abs_max,inf,kg/ha/yr
FL,drained,undefined,tropical,abs_max,inf,kg/ha/yr
CL-PLAN-OILPALM,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
CL-PLAN-SAGOPALM,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
CL,drained,undefined,boreal_temperate,abs_max,inf,kg/ha/yr
CL,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
CL-RICE,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
GL,drained,undefined,boreal,abs_max,inf,kg/ha/yr
GL,drained,nutrientpoor,temperate,abs_max,inf,kg/ha/yr
GL,deepdrained,nutrientrich,temperate,abs_max,inf,kg/ha/yr
GL,shallowdrained,nutrientrich,temperate,abs_max,inf,kg/ha/yr
GL,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
WL-PEAT,undefined,undefined,boreal_temperate,abs_max,inf,kg/ha/yr
WL-PEAT,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
SL-PARK,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
SL-PARK,undefined,undefined,boreal,abs_max,inf,kg/ha/yr
SL-PARK,undefined,undefined,boreal_temperate,abs_max,inf,kg/ha/yr
SL-PARK,undefined,undefined,temperate,abs_max,inf,kg/ha/yr
OL,undefined,undefined,tropical,abs_max,inf,kg/ha/yr
OL,undefined,undefined,boreal,abs_max,inf,kg/ha/yr
OL,undefined,undefined,boreal_temperate,abs_max,inf,kg/ha/yr
OL,undefined,undefined,temperate,abs_max,inf,kg/ha/yr
