landuse_type,climate_zone,moisture_regime,property,value,unit
CL-ANNUAL,tropical,wet,min,0.7387,kg/kg
CL-RICE,tropical,dry,min,1.296,kg/kg
CL-RICE,temperate-warm,dry,min,1.296,kg/kg
CL-RICE,temperate,dry,min,1.296,kg/kg
CL-RICE,tropical,moist,min,1.296,kg/kg
CL-RICE,temperate-warm,moist,min,1.296,kg/kg
CL-RICE,temperate,moist,min,1.296,kg/kg
CL-RICE,tropical,wet,min,1.296,kg/kg
CL-RICE,temperate-warm,wet,min,1.296,kg/kg
CL-RICE,temperate,wet,min,1.296,kg/kg
CL-PLAN,temperate,dry,min,0.5616,kg/kg
CL-VINE,temperate,dry,min,0.5616,kg/kg
CL-ORCH,temperate,dry,min,0.5616,kg/kg
CL-OLIV,temperate,dry,min,0.5616,kg/kg
CL-AGRO,temperate,dry,min,0.5616,kg/kg
CL-PLAN,boreal,dry,min,0.5616,kg/kg
CL-VINE,boreal,dry,min,0.5616,kg/kg
CL-ORCH,boreal,dry,min,0.5616,kg/kg
CL-OLIV,boreal,dry,min,0.5616,kg/kg
CL-AGRO,boreal,dry,min,0.5616,kg/kg
CL-PLAN,tropical,dry,min,0.7575,kg/kg
CL-VINE,tropical,dry,min,0.7575,kg/kg
CL-ORCH,tropical,dry,min,0.7575,kg/kg
CL-OLIV,tropical,dry,min,0.7575,kg/kg
CL-AGRO,tropical,dry,min,0.7575,kg/kg
CL-PLAN,boreal,moist,min,0.5616,kg/kg
CL-VINE,boreal,moist,min,0.5616,kg/kg
CL-ORCH,boreal,moist,min,0.5616,kg/kg
CL-OLIV,boreal,moist,min,0.5616,kg/kg
CL-AGRO,boreal,moist,min,0.5616,kg/kg
CL-PLAN,temperate,moist,min,0.5616,kg/kg
CL-VINE,temperate,moist,min,0.5616,kg/kg
CL-ORCH,temperate,moist,min,0.5616,kg/kg
CL-OLIV,temperate,moist,min,0.5616,kg/kg
CL-AGRO,temperate,moist,min,0.5616,kg/kg
CL-PLAN,tropical,moist,min,0.7575,kg/kg
CL-VINE,tropical,moist,min,0.7575,kg/kg
CL-ORCH,tropical,moist,min,0.7575,kg/kg
CL-OLIV,tropical,moist,min,0.7575,kg/kg
CL-AGRO,tropical,moist,min,0.7575,kg/kg
CL-PLAN,tropical,wet,min,0.7575,kg/kg
CL-VINE,tropical,wet,min,0.7575,kg/kg
CL-ORCH,tropical,wet,min,0.7575,kg/kg
CL-OLIV,tropical,wet,min,0.7575,kg/kg
CL-AGRO,tropical,wet,min,0.7575,kg/kg
CL-ASIDE,temperate,dry,min,0.8277,kg/kg
CL-ASIDE,boreal,dry,min,0.8277,kg/kg
CL-ASIDE,tropical,dry,min,0.8277,kg/kg
CL-ASIDE,temperate,moist,min,0.6806,kg/kg
CL-ASIDE,boreal,moist,min,0.6806,kg/kg
CL-ASIDE,tropical,moist,min,0.6806,kg/kg
CL-ASIDE,temperate,wet,min,0.6806,kg/kg
CL-ASIDE,boreal,wet,min,0.6806,kg/kg
CL-ASIDE,tropical,wet,min,0.6806,kg/kg
CL-ASIDE,tropical-montane,undefined,min,0.44,kg/kg
CL-ANNUAL,temperate-cool,dry,max,0.8778,kg/kg
CL-ANNUAL,temperate-cool,moist,max,0.784,kg/kg
CL-ANNUAL,boreal,dry,max,0.8778,kg/kg
CL-ANNUAL,boreal,moist,max,0.784,kg/kg
CL-ANNUAL,temperate-warm,dry,max,0.8512,kg/kg
CL-ANNUAL,temperate-warm,moist,max,0.8004,kg/kg
CL-ANNUAL,temperate-warm,wet,max,0.8004,kg/kg
CL-ANNUAL,tropical,dry,max,1.0396,kg/kg
CL-ANNUAL,tropical,moist,max,0.9213,kg/kg
CL-ANNUAL,tropical,wet,max,0.9213,kg/kg
CL-RICE,tropical,dry,max,1.404,kg/kg
CL-RICE,temperate-warm,dry,max,1.404,kg/kg
CL-RICE,temperate,dry,max,1.404,kg/kg
CL-RICE,tropical,moist,max,1.404,kg/kg
CL-RICE,temperate-warm,moist,max,1.404,kg/kg
CL-RICE,temperate,moist,max,1.404,kg/kg
CL-RICE,tropical,wet,max,1.404,kg/kg
CL-RICE,temperate-warm,wet,max,1.404,kg/kg
CL-RICE,temperate,wet,max,1.404,kg/kg
CL-PLAN,temperate,dry,max,0.8784,kg/kg
CL-VINE,temperate,dry,max,0.8784,kg/kg
CL-ORCH,temperate,dry,max,0.8784,kg/kg
CL-OLIV,temperate,dry,max,0.8784,kg/kg
CL-AGRO,temperate,dry,max,0.8784,kg/kg
CL-PLAN,boreal,dry,max,0.8784,kg/kg
CL-VINE,boreal,dry,max,0.8784,kg/kg
CL-ORCH,boreal,dry,max,0.8784,kg/kg
CL-OLIV,boreal,dry,max,0.8784,kg/kg
CL-AGRO,boreal,dry,max,0.8784,kg/kg
CL-PLAN,tropical,dry,max,1.2625,kg/kg
CL-VINE,tropical,dry,max,1.2625,kg/kg
CL-ORCH,tropical,dry,max,1.2625,kg/kg
CL-OLIV,tropical,dry,max,1.2625,kg/kg
CL-AGRO,tropical,dry,max,1.2625,kg/kg
CL-PLAN,boreal,moist,max,0.8784,kg/kg
CL-VINE,boreal,moist,max,0.8784,kg/kg
CL-ORCH,boreal,moist,max,0.8784,kg/kg
CL-OLIV,boreal,moist,max,0.8784,kg/kg
CL-AGRO,boreal,moist,max,0.8784,kg/kg
CL-PLAN,temperate,moist,max,0.8784,kg/kg
CL-VINE,temperate,moist,max,0.8784,kg/kg
CL-ORCH,temperate,moist,max,0.8784,kg/kg
CL-OLIV,temperate,moist,max,0.8784,kg/kg
CL-AGRO,temperate,moist,max,0.8784,kg/kg
CL-PLAN,tropical,moist,max,1.2625,kg/kg
CL-VINE,tropical,moist,max,1.2625,kg/kg
CL-ORCH,tropical,moist,max,1.2625,kg/kg
CL-OLIV,tropical,moist,max,1.2625,kg/kg
CL-AGRO,tropical,moist,max,1.2625,kg/kg
CL-PLAN,tropical,wet,max,1.2625,kg/kg
CL-VINE,tropical,wet,max,1.2625,kg/kg
CL-ORCH,tropical,wet,max,1.2625,kg/kg
CL-OLIV,tropical,wet,max,1.2625,kg/kg
CL-AGRO,tropical,wet,max,1.2625,kg/kg
CL-ASIDE,temperate,dry,max,1.0323,kg/kg
CL-ASIDE,boreal,dry,max,1.0323,kg/kg
CL-ASIDE,tropical,dry,max,1.0323,kg/kg
CL-ASIDE,temperate,moist,max,0.9594,kg/kg
CL-ASIDE,boreal,moist,max,0.9594,kg/kg
CL-ASIDE,tropical,moist,max,0.9594,kg/kg
CL-ASIDE,temperate,wet,max,0.9594,kg/kg
CL-ASIDE,boreal,wet,max,0.9594,kg/kg
CL-ASIDE,tropical,wet,max,0.9594,kg/kg
CL-ASIDE,tropical-montane,undefined,max,1.32,kg/kg
CL-ANNUAL,temperate-cool,dry,abs_min,0.0,kg/kg
CL-ANNUAL,temperate-cool,moist,abs_min,0.0,kg/kg
CL-ANNUAL,boreal,dry,abs_min,0.0,kg/kg
CL-ANNUAL,boreal,moist,abs_min,0.0,kg/kg
CL-ANNUAL,temperate-warm,dry,abs_min,0.0,kg/kg
CL-ANNUAL,temperate-warm,moist,abs_min,0.0,kg/kg
CL-ANNUAL,temperate-warm,wet,abs_min,0.0,kg/kg
CL-ANNUAL,tropical,dry,abs_min,0.0,kg/kg
CL-ANNUAL,tropical,moist,abs_min,0.0,kg/kg
CL-ANNUAL,tropical,wet,abs_min,0.0,kg/kg
CL-RICE,tropical,dry,abs_min,0.0,kg/kg
CL-RICE,temperate-warm,dry,abs_min,0.0,kg/kg
CL-RICE,temperate,dry,abs_min,0.0,kg/kg
CL-RICE,tropical,moist,abs_min,0.0,kg/kg
CL-RICE,temperate-warm,moist,abs_min,0.0,kg/kg
CL-RICE,temperate,moist,abs_min,0.0,kg/kg
CL-RICE,tropical,wet,abs_min,0.0,kg/kg
CL-RICE,temperate-warm,wet,abs_min,0.0,kg/kg
CL-RICE,temperate,wet,abs_min,0.0,kg/kg
CL-PLAN,temperate,dry,abs_min,0.0,kg/kg
CL-VINE,temperate,dry,abs_min,0.0,kg/kg
CL-ORCH,temperate,dry,abs_min,0.0,kg/kg
CL-OLIV,temperate,dry,abs_min,0.0,kg/kg
CL-AGRO,temperate,dry,abs_min,0.0,kg/kg
CL-PLAN,boreal,dry,abs_min,0.0,kg/kg
CL-VINE,boreal,dry,abs_min,0.0,kg/kg
CL-ORCH,boreal,dry,abs_min,0.0,kg/kg
CL-OLIV,boreal,dry,abs_min,0.0,kg/kg
CL-AGRO,boreal,dry,abs_min,0.0,kg/kg
CL-PLAN,tropical,dry,abs_min,0.0,kg/kg
CL-VINE,tropical,dry,abs_min,0.0,kg/kg
CL-ORCH,tropical,dry,abs_min,0.0,kg/kg
CL-OLIV,tropical,dry,abs_min,0.0,kg/kg
CL-AGRO,tropical,dry,abs_min,0.0,kg/kg
CL-PLAN,boreal,moist,abs_min,0.0,kg/kg
CL-VINE,boreal,moist,abs_min,0.0,kg/kg
CL-ORCH,boreal,moist,abs_min,0.0,kg/kg
CL-OLIV,boreal,moist,abs_min,0.0,kg/kg
CL-AGRO,boreal,moist,abs_min,0.0,kg/kg
CL-PLAN,temperate,moist,abs_min,0.0,kg/kg
CL-VINE,temperate,moist,abs_min,0.0,kg/kg
CL-ORCH,temperate,moist,abs_min,0.0,kg/kg
CL-OLIV,temperate,moist,abs_min,0.0,kg/kg
CL-AGRO,temperate,moist,abs_min,0.0,kg/kg
CL-PLAN,tropical,moist,abs_min,0.0,kg/kg
CL-VINE,tropical,moist,abs_min,0.0,kg/kg
CL-ORCH,tropical,moist,abs_min,0.0,kg/kg
CL-OLIV,tropical,moist,abs_min,0.0,kg/kg
CL-AGRO,tropical,moist,abs_min,0.0,kg/kg
CL-PLAN,tropical,wet,abs_min,0.0,kg/kg
CL-VINE,tropical,wet,abs_min,0.0,kg/kg
CL-ORCH,tropical,wet,abs_min,0.0,kg/kg
CL-OLIV,tropical,wet,abs_min,0.0,kg/kg
CL-AGRO,tropical,wet,abs_min,0.0,kg/kg
CL-ASIDE,temperate,dry,abs_min,0.0,kg/kg
CL-ASIDE,boreal,dry,abs_min,0.0,kg/kg
CL-ASIDE,tropical,dry,abs_min,0.0,kg/kg
CL-ASIDE,temperate,moist,abs_min,0.0,kg/kg
CL-ASIDE,boreal,moist,abs_min,0.0,kg/kg
CL-ASIDE,tropical,moist,abs_min,0.0,kg/kg
CL-ASIDE,temperate,wet,abs_min,0.0,kg/kg
CL-ASIDE,boreal,wet,abs_min,0.0,kg/kg
CL-ASIDE,tropical,wet,abs_min,0.0,kg/kg
CL-ASIDE,tropical-montane,undefined,abs_min,0.0,kg/kg
CL-ANNUAL,temperate-cool,dry,abs_max,inf,kg/kg
CL-ANNUAL,temperate-cool,moist,abs_max,inf,kg/kg
CL-ANNUAL,boreal,dry,abs_max,inf,kg/kg
CL-ANNUAL,boreal,moist,abs_max,inf,kg/kg
CL-ANNUAL,temperate-warm,dry,abs_max,inf,kg/kg
CL-ANNUAL,temperate-warm,moist,abs_max,inf,kg/kg
CL-ANNUAL,temperate-warm,wet,abs_max,inf,kg/kg
CL-ANNUAL,tropical,dry,abs_max,inf,kg/kg
CL-ANNUAL,tropical,moist,abs_max,inf,kg/kg
CL-ANNUAL,tropical,wet,abs_max,inf,kg/kg
CL-RICE,tropical,dry,abs_max,inf,kg/kg
CL-RICE,temperate-warm,dry,abs_max,inf,kg/kg
CL-RICE,temperate,dry,abs_max,inf,kg/kg
CL-RICE,tropical,moist,abs_max,inf,kg/kg
CL-RICE,temperate-warm,moist,abs_max,inf,kg/kg
CL-RICE,temperate,moist,abs_max,inf,kg/kg
CL-RICE,tropical,wet,abs_max,inf,kg/kg
CL-RICE,temperate-warm,wet,abs_max,inf,kg/kg
CL-RICE,temperate,wet,abs_max,inf,kg/kg
CL-PLAN,temperate,dry,abs_max,inf,kg/kg
CL-VINE,temperate,dry,abs_max,inf,kg/kg
CL-ORCH,temperate,dry,abs_max,inf,kg/kg
CL-OLIV,temperate,dry,abs_max,inf,kg/kg
CL-AGRO,temperate,dry,abs_max,inf,kg/kg
CL-PLAN,boreal,dry,abs_max,inf,kg/kg
CL-VINE,boreal,dry,abs_max,inf,kg/kg
CL-ORCH,boreal,dry,abs_max,inf,kg/kg
CL-OLIV,boreal,dry,abs_max,inf,kg/kg
CL-AGRO,boreal,dry,abs_max,inf,kg/kg
CL-PLAN,tropical,dry,abs_max,inf,kg/kg
CL-VINE,tropical,dry,abs_max,inf,kg/kg
CL-ORCH,tropical,dry,abs_max,inf,kg/kg
CL-OLIV,tropical,dry,abs_max,inf,kg/kg
CL-AGRO,tropical,dry,abs_max,inf,kg/kg
CL-PLAN,boreal,moist,abs_max,inf,kg/kg
CL-VINE,boreal,moist,abs_max,inf,kg/kg
CL-ORCH,boreal,moist,abs_max,inf,kg/kg
CL-OLIV,boreal,moist,abs_max,inf,kg/kg
CL-AGRO,boreal,moist,abs_max,inf,kg/kg
CL-PLAN,temperate,moist,abs_max,inf,kg/kg
CL-VINE,temperate,moist,abs_max,inf,kg/kg
CL-ORCH,temperate,moist,abs_max,inf,kg/kg
CL-OLIV,temperate,moist,abs_max,inf,kg/kg
CL-AGRO,temperate,moist,abs_max,inf,kg/kg
CL-PLAN,tropical,moist,abs_max,inf,kg/kg
CL-VINE,tropical,moist,abs_max,inf,kg/kg
CL-ORCH,tropical,moist,abs_max,inf,kg/kg
CL-OLIV,tropical,moist,abs_max,inf,kg/kg
CL-AGRO,tropical,moist,abs_max,inf,kg/kg
CL-PLAN,tropical,wet,abs_max,inf,kg/kg
CL-VINE,tropical,wet,abs_max,inf,kg/kg
CL-ORCH,tropical,wet,abs_max,inf,kg/kg
CL-OLIV,tropical,wet,abs_max,inf,kg/kg
CL-AGRO,tropical,wet,abs_max,inf,kg/kg
CL-ASIDE,temperate,dry,abs_max,inf,kg/kg
CL-ASIDE,boreal,dry,abs_max,inf,kg/kg
CL-ASIDE,tropical,dry,abs_max,inf,kg/kg
CL-ASIDE,temperate,moist,abs_max,inf,kg/kg
CL-ASIDE,boreal,moist,abs_max,inf,kg/kg
CL-ASIDE,tropical,moist,abs_max,inf,kg/kg
CL-ASIDE,temperate,wet,abs_max,inf,kg/kg
CL-ASIDE,boreal,wet,abs_max,inf,kg/kg
CL-ASIDE,tropical,wet,abs_max,inf,kg/kg
CL-ASIDE,tropical-montane,undefined,abs_max,inf,kg/kg
GL,tropical-montane,undefined,def,1.0,kg/kg
GL,tropical,wet,def,1.0,kg/kg
GL,temperate,wet,def,1.0,kg/kg
GL,boreal,wet,def,1.0,kg/kg
GL,boreal_temperate,wet,def,1.0,kg/kg
GL,temperate-warm,wet,def,1.0,kg/kg
GL,temperate-cool,wet,def,1.0,kg/kg
GL,tropical,dry,def,1.0,kg/kg
GL,temperate,dry,def,1.0,kg/kg
GL,boreal,dry,def,1.0,kg/kg
GL,boreal_temperate,dry,def,1.0,kg/kg
GL,temperate-warm,dry,def,1.0,kg/kg
GL,temperate-cool,dry,def,1.0,kg/kg
GL,tropical,moist,def,1.0,kg/kg
GL,temperate,moist,def,1.0,kg/kg
GL,boreal,moist,def,1.0,kg/kg
GL,boreal_temperate,moist,def,1.0,kg/kg
GL,temperate-warm,moist,def,1.0,kg/kg
GL,temperate-cool,moist,def,1.0,kg/kg
GL,tropical,wet,min,1.0,kg/kg
GL,temperate,wet,min,1.0,kg/kg
GL,boreal,wet,min,1.0,kg/kg
GL,boreal_temperate,wet,min,1.0,kg/kg
GL,temperate-warm,wet,min,1.0,kg/kg
GL,temperate-cool,wet,min,1.0,kg/kg
GL,tropical,dry,min,1.0,kg/kg
GL,temperate,dry,min,1.0,kg/kg
GL,boreal,dry,min,1.0,kg/kg
GL,boreal_temperate,dry,min,1.0,kg/kg
GL,temperate-warm,dry,min,1.0,kg/kg
GL,temperate-cool,dry,min,1.0,kg/kg
GL,tropical,moist,min,1.0,kg/kg
GL,temperate,moist,min,1.0,kg/kg
GL,boreal,moist,min,1.0,kg/kg
GL,boreal_temperate,moist,min,1.0,kg/kg
GL,temperate-warm,moist,min,1.0,kg/kg
GL,temperate-cool,moist,min,1.0,kg/kg
GL,tropical,wet,max,1.0,kg/kg
GL,temperate,wet,max,1.0,kg/kg
GL,boreal,wet,max,1.0,kg/kg
GL,boreal_temperate,wet,max,1.0,kg/kg
GL,temperate-warm,wet,max,1.0,kg/kg
GL,temperate-cool,wet,max,1.0,kg/kg
GL,tropical,dry,max,1.0,kg/kg
GL,temperate,dry,max,1.0,kg/kg
GL,boreal,dry,max,1.0,kg/kg
GL,boreal_temperate,dry,max,1.0,kg/kg
GL,temperate-warm,dry,max,1.0,kg/kg
GL,temperate-cool,dry,max,1.0,kg/kg
GL,tropical,moist,max,1.0,kg/kg
GL,temperate,moist,max,1.0,kg/kg
GL,boreal,moist,max,1.0,kg/kg
GL,boreal_temperate,moist,max,1.0,kg/kg
GL,temperate-warm,moist,max,1.0,kg/kg
GL,temperate-cool,moist,max,1.0,kg/kg
GL,tropical,wet,abs_min,0.0,kg/kg
GL,temperate,wet,abs_min,0.0,kg/kg
GL,boreal,wet,abs_min,0.0,kg/kg
GL,boreal_temperate,wet,abs_min,0.0,kg/kg
GL,temperate-warm,wet,abs_min,0.0,kg/kg
GL,temperate-cool,wet,abs_min,0.0,kg/kg
GL,tropical,dry,abs_min,0.0,kg/kg
GL,temperate,dry,abs_min,0.0,kg/kg
GL,boreal,dry,abs_min,0.0,kg/kg
GL,boreal_temperate,dry,abs_min,0.0,kg/kg
GL,temperate-warm,dry,abs_min,0.0,kg/kg
GL,temperate-cool,dry,abs_min,0.0,kg/kg
GL,tropical,moist,abs_min,0.0,kg/kg
GL,temperate,moist,abs_min,0.0,kg/kg
GL,boreal,moist,abs_min,0.0,kg/kg
GL,boreal_temperate,moist,abs_min,0.0,kg/kg
GL,temperate-warm,moist,abs_min,0.0,kg/kg
GL,temperate-cool,moist,abs_min,0.0,kg/kg
GL,tropical,wet,abs_max,inf,kg/kg
GL,temperate,wet,abs_max,inf,kg/kg
GL,boreal,wet,abs_max,inf,kg/kg
GL,boreal_temperate,wet,abs_max,inf,kg/kg
GL,temperate-warm,wet,abs_max,inf,kg/kg
GL,temperate-cool,wet,abs_max,inf,kg/kg
GL,tropical,dry,abs_max,inf,kg/kg
GL,temperate,dry,abs_max,inf,kg/kg
GL,boreal,dry,abs_max,inf,kg/kg
GL,boreal_temperate,dry,abs_max,inf,kg/kg
GL,temperate-warm,dry,abs_max,inf,kg/kg
GL,temperate-cool,dry,abs_max,inf,kg/kg
GL,tropical,moist,abs_max,inf,kg/kg
GL,temperate,moist,abs_max,inf,kg/kg
GL,boreal,moist,abs_max,inf,kg/kg
GL,boreal_temperate,moist,abs_max,inf,kg/kg
GL,temperate-warm,moist,abs_max,inf,kg/kg
GL,temperate-cool,moist,abs_max,inf,kg/kg
